Set,Primary,Alignment,MEID,Artist,Rarity,Precise,NameEN,NameDU,NameSP,NameFN,NameFR,NameGR,NameIT,NameJP,ImageName,Text,Skill,MPs,Mind,Direct,General,Prowess,Body,Corruption,Home,Unique,Secondary,Race,RWMPs,Site,Path,Region,RPath,Playable,GoldRing,GreaterItem,MajorItem,MinorItem,Information,Palantiri,Scroll,Hoard,Gear,Non,Haven,Stage,Strikes,code,codeFR,codeGR,codeSP,codeJP,Specific,fullCode,gccgAlign,gccgSet,normalizedtitle,DCpath,dreamcard,released,erratum,ice_errata,RType_Short,RType_Long,png_path,Northern Waste,Eriador,Wilderland,Mirkwood,Greater Gondor,Gondor,Mordor,Sundering Seas,Great Central Plains,Sun-lands,Harnendor,Bellakar,Sirayn,Bay of Ormal,Uttersouth,Ardor,Dominion of the Seven
METW,Character,Hero,TW015,DONE CARD,Fixed,F1,Beorn,Beorn,Beorn,Beorn,Beorn,Beorn,Beorn,biyorun,metw_beorn.jpg,"Unique. +2 direct influence against the Beornings faction.  ""...a huge man with thick, black beard and hair, and great bare arms and legs knotted muscles.""-Hob  Home Site: Beorn's House ",Warrior Ranger,2,7.0,2.0,-,7.0,9.0,-,Beorn's House ,unique,character,Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(TW),0,0,0,biyorun,-,Beorn (TW),-,(TW),beorn,Wizards/Beorn.jpg,0.0,1.0,0.0,-,[-],-,metw_beorn.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METW,Character,Hero,TW016,DONE CARD,Fixed,F1,Beregond,Beregond,Beregond,Beregond,Beregond,Beregond,Beregond,beregondo,metw_beregond.jpg,"Unique. -1 to all of his corruption checks. +1 to influence checks against factions.  ""...Beregond laughed, 'I am no captain. ...being but a plain man of arms of the Third Company of the Citadel...to be only a man of arms of the Guard...is held worthy in the city, and such men have honour...'""-LotRV  Home Site: Minas Tirith ",Warrior,-,2.0,0.0,-,4.0,8.0,1.0,Minas Tirith ,unique,character,Dunadan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(TW),0,0,0,beregondo,-,Beregond (TW),-,(TW),beregond,Wizards/Beregond.jpg,0.0,1.0,0.0,-,[-],-,metw_beregond.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METW,Character,Hero,TW017,DONE CARD,Uncommon,U,Beretar,Beretar,Beretar,Beretar,Beretar,Beretar,Beretar,beretaru,metw_beretar.jpg,"Unique. +2 direct influence against the Rangers of the North faction.  ""When the kingdom ended the Dunedain passed into the shadows and became a secret and wandering people, and their deeds and labours were seldom sung or recorded.""-LotR  Home Site: Bree ",Warrior Ranger,2,5.0,1.0,-,5.0,8.0,-,Bree ,unique,character,Dunadan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(TW),0,0,0,beretaru,-,Beretar (TW),-,(TW),beretar,Wizards/Beretar.jpg,0.0,1.0,0.0,-,[-],-,metw_beretar.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METW,Character,Hero,TW018,DONE CARD,Uncommon,U,Bergil,Bergil,Bergil,Bergil,Bergil,Bergil,Bergil,beagiru,metw_bergil.jpg,"Unique.  ""The boy drew himself up proudly, 'I am Bergil son of Beregond of the Guards,' he said.""-LotRV  Home Site: Minas Tirith ",Scout,-,2.0,0.0,-,1.0,9.0,-,Minas Tirith ,unique,character,Dunadan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(TW),0,0,0,beagiru,-,Bergil (TW),-,(TW),bergil,Wizards/Bergil.jpg,0.0,1.0,0.0,-,[-],-,metw_bergil.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METW,Character,Hero,TW019,DONE CARD,Common,CB1,Bifur,Bifur,Bifur,Bifur,Bifur,Bifur,Bifur,bihuru,metw_bifur.jpg,"Unique. +1 prowess against Orcs. -1 to all of his corruption checks. -1 to influence checks against factions.  ""...for Bifur and Bombur had given a lot of trouble, and fought like mad, as dwarves will when cornered.""-Hob  Home Site: Blue Mountain Dwarf-hold ",Warrior,-,2.0,0.0,-,4.0,7.0,1.0,Blue Mountain Dwarf-hold ,unique,character,Firebeard Dwarf,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(TW),0,0,0,bihuru,-,Bifur (TW),-,(TW),bifur,Wizards/Bifur.jpg,0.0,1.0,0.0,-,[-],-,metw_bifur.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METW,Character,Hero,TW020,DONE CARD,Rare,R,Bilbo,Bilbo,Bilbo,Bilbo,Bilbo,Bilbo,Bilbo,birubo,metw_bilbo.jpg,"Unique. Unless he is one of the starting characters, he may only be brought into play at his home site. All of his corruption checks are modified by +4. -2 Marshaling points if eliminated.  ""'I am Ringwinner and Luckwearer...'""-Hob  Home Site: Bag End ",Scout Sage,2,5.0,1.0,-,1.0,9.0,-4.0,Bag End ,unique,character,Hobbit,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(TW),0,0,0,birubo,-,Bilbo (TW),-,(TW),bilbo,Wizards/Bilbo.jpg,0.0,1.0,0.0,-,[-],-,metw_bilbo.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METW,Character,Hero,TW021,DONE CARD,Common,CB1,Bofur,Bofur,Bofur,Bofur,Bofur,Bofur,Bofur,bohuru,metw_bofur.jpg,"Unique. +1 prowess against Orcs. -1 to all of his corruption checks. -1 to influence checks against factions.  ""Bifur and Bofur went out too, and came back with clarinets that they had left among the walking sticks.""-Hob  Home Site: Blue Mountain Dwarf-hold ",Warrior,-,2.0,0.0,-,4.0,7.0,1.0,Blue Mountain Dwarf-hold ,unique,character,Firebeard Dwarf,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(TW),0,0,0,bohuru,-,Bofur (TW),-,(TW),bofur,Wizards/Bofur.jpg,0.0,1.0,0.0,-,[-],-,metw_bofur.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METW,Character,Hero,TW022,DONE CARD,Uncommon,U,Bombur,Bombur,Bombur,Bombur,Bombur,Bombur,Bombur,bonburu,metw_bombur.jpg,"Unique. +1 prowess against Orcs. -1 to all of his corruption checks. -1 to influence checks against factions.  ""'I am too fat for such fly-walks,' he said. 'I should turn dizzy and tread on my beard, and then you would be thirteen again.'""-Hob  Home Site: Blue Mountain Dwarf-hold ",Warrior,-,1.0,0.0,-,3.0,6.0,1.0,Blue Mountain Dwarf-hold ,unique,character,Firebeard Dwarf,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(TW),0,0,0,bonburu,-,Bombur (TW),-,(TW),bombur,Wizards/Bombur.jpg,0.0,1.0,0.0,-,[-],-,metw_bombur.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METW,Character,Hero,TW023,DONE CARD,Fixed,F2,Boromir II,Boromir II,Boromir II,Boromir II,Boromir II,Boromir II,Boromir II,boromiaEr Shi ,metw_boromirii.jpg,"Unique. +2 direct influence against the Men of Anorien faction. -1 to all of his corruption checks.  ""'And very valiant indeed he was: no heir of Minas Tirith has for long years been so hardy in toil, so onward in battle, or blown a mightier note on the Great Horn.'""-LotRIV  Home Site: Minas Tirith ",Warrior,1,4.0,1.0,-,6.0,7.0,1.0,Minas Tirith ,unique,character,Dunadan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(TW),0,0,0,boromiaEr Shi ,-,Boromir II (TW),-,(TW),boromir ii,Wizards/BoromirII.jpg,0.0,1.0,0.0,-,[-],-,metw_boromirii.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METW,Character,Hero,TW024,DONE CARD,Fixed,F1,Celeborn,Celeborn,Celeborn,Celeborn,Celeborn,Celeborn,Celeborn,kereborun,metw_celeborn.jpg,"Unique. +5 direct influence that is only usable against Galadriel.  ""...and the hair of Lord Celeborn was of silver long and bright; but no sign of age was upon them, unless in the depths of their eyes; for these were keen as lances in the starlight, and yet profound, the wells of deep memory.""-LotRII  Home Site: Lorien ",Warrior Sage,2,6.0,1.0,-,6.0,9.0,-,Lorien ,unique,character,Sinda Elf,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(TW),0,0,0,kereborun,-,Celeborn (TW),-,(TW),celeborn,Wizards/Celeborn.jpg,0.0,1.0,0.0,-,[-],-,metw_celeborn.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METW,Character,Hero,TW025,DONE CARD,Rare,R,Cirdan,Cirdan,Cirdan,Cirdan,Cirdan,Cirdan,Cirdan,kiadan,metw_cirdan.jpg,"Unique. When Cirdan is at the Grey Havens, his controlling player may keep one more card than normal in his hand. May tap to cancel one attack keyed to a Coastal Sea region. +2 direct influence against the Elves of Lindon faction. -3 Marshaling points if eliminated.   Home Site: Grey Havens ",Warrior Sage Diplomat,3,8.0,4.0,-,6.0,8.0,-,Grey Havens ,unique,character,Sinda Elf,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(TW),0,0,0,kiadan,-,Cirdan (TW),-,(TW),cirdan,Wizards/Cirdan.jpg,0.0,1.0,0.0,-,[-],-,metw_cirdan.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METW,Character,Hero,TW026,DONE CARD,Rare,R,Dain II,Dain II,Dain II,Dain II,Dain II,Dain II,Dain II,dainEr Shi ,metw_dainii.jpg,"Unique. +2 direct influence against Iron Hill Dwarves. +2 prowess against Orcs. +1 direct influence against Men and Man factions.  ""...Dain...became King under the Mountain, and...many other dwarves gathered to his throne...""-Hob  Home Site: Iron Hill Dwarf-hold ",Warrior Diplomat,2,7.0,3.0,-,5.0,8.0,-,Iron Hill Dwarf-hold ,unique,character,Longbeard Dwarf,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(TW),0,0,0,dainEr Shi ,-,Dain II (TW),-,(TW),dain ii,Wizards/DainII.jpg,0.0,1.0,0.0,-,[-],-,metw_dainii.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METW,Character,Hero,TW027,DONE CARD,Uncommon,U,Damrod,Damrod,Damrod,Damrod,Damrod,Damrod,Damrod,damurodo,metw_damrod.jpg,"Unique. +2 direct influence against the Men of Lamedon faction.  ""...and they were Rangers of Ithilien; for they were descended from folk who lived in Ithilien at one time, before it was overrun.""-LotRIV  Home Site: Vale of Erech ",Scout Ranger,-,2.0,0.0,-,2.0,7.0,-,Vale of Erech ,unique,character,Dunadan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(TW),0,0,0,damurodo,-,Damrod (TW),-,(TW),damrod,Wizards/Damrod.jpg,0.0,1.0,0.0,-,[-],-,metw_damrod.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METW,Character,Hero,TW028,DONE CARD,Rare,R,Denethor II,Denethor II,Denethor II,Denethor II,Denethor II,Denethor II,Denethor II,denesoruEr Shi ,metw_denethorii.jpg,"Unique. +2 direct influence against the Tower Guard of Minas Tirith faction.  ""Pippin saw his carven face with its proud bones and skin like ivory, and the long curved nose between his dark deep eyes... A pale smile, like a gleam of cold sun on a winter's evening, passed over the old man's face...""-LotRIV  Home Site: Minas Tirith ",Warrior Sage,1,4.0,2.0,-,3.0,6.0,-,Minas Tirith ,unique,character,Dunadan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(TW),0,0,0,denesoruEr Shi ,-,Denethor II (TW),-,(TW),denethor ii,Wizards/DenethorII.jpg,0.0,1.0,0.0,-,[-],-,metw_denethorii.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METW,Character,Hero,TW029,DONE CARD,Uncommon,U,Dori,Dori,Dori,Dori,Dori,Dori,Dori,dori,metw_dori.jpg,"Unique. +1 prowess against Orcs. -1 to all of his corruption checks. -1 to influence checks against factions.  ""'I can't always be carrying burglars on my back,' said Dori, 'down tunnels and up trees! What do you think I am? A porter?'""-Hob  Home Site: Blue Mountain Dwarf-hold ",Warrior,-,1.0,0.0,-,3.0,6.0,1.0,Blue Mountain Dwarf-hold ,unique,character,Longbeard Dwarf,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(TW),0,0,0,dori,-,Dori (TW),-,(TW),dori,Wizards/Dori.jpg,0.0,1.0,0.0,-,[-],-,metw_dori.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METW,Character,Hero,TW030,DONE CARD,Common,CB1,Dwalin,Dwalin,Dwalin,Dwalin,Dwalin,Dwalin,Dwalin,dowarin,metw_dwalin.jpg,"Unique. +1 prowess against Orcs. -1 to all of his corruption checks. +1 to influence checks against factions.  ""It was a dwarf with a blue beard tucked into a golden belt, and very bright eyes under a dark-green hood.""-Hob  Home Site: Blue Mountain Dwarf-hold ",Warrior,-,1.0,0.0,-,2.0,7.0,1.0,Blue Mountain Dwarf-hold ,unique,character,Longbeard Dwarf,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(TW),0,0,0,dowarin,-,Dwalin (TW),-,(TW),dwalin,Wizards/Dwalin.jpg,0.0,1.0,0.0,-,[-],-,metw_dwalin.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METW,Character,Hero,TW031,DONE CARD,Fixed,F1,Elladan,Elladan,Elladan,Elladan,Elladan,Elladan,Elladan,eruradan,metw_elladan.jpg,"Unique. +1 prowess against Orcs.  ""So much alike were they, the sons of Elrond...dark-haired, grey-eyed, and their faces elven-fair, clad alike in bright mail beneath cloaks of silver-grey.""-LotRV  Home Site: Rivendell ",Warrior Ranger,1,4.0,0.0,-,5.0,8.0,-,Rivendell ,unique,character,Noldo Elf,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(TW),0,0,0,eruradan,-,Elladan (TW),-,(TW),elladan,Wizards/Elladan.jpg,0.0,1.0,0.0,-,[-],-,metw_elladan.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METW,Character,Hero,TW032,DONE CARD,Fixed,F1,Elrohir,Elrohir,Elrohir,Elrohir,Elrohir,Elrohir,Elrohir,erurohia,metw_elrohir.jpg,"Unique. +1 prowess against Orcs.  ""Then said Elrohir: 'From the North we came with this purpose, and from Elrond our father we brought this counsel. We will not turn back.'""-LotRV  Home Site: Rivendell ",Warrior Ranger,1,4.0,0.0,-,5.0,8.0,-,Rivendell ,unique,character,Noldo Elf,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(TW),0,0,0,erurohia,-,Elrohir (TW),-,(TW),elrohir,Wizards/Elrohir.jpg,0.0,1.0,0.0,-,[-],-,metw_elrohir.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METW,Character,Hero,TW033,DONE CARD,Rare,R,Elrond,Elrond,Elrond,Elrond,Elrond,Elrond,Elrond,erurondo,metw_elrond.jpg,"Unique. When Elrond is at Rivendell, his controlling player may keep one more card than normal in his hand. -3 Marshaling points if eliminated.  ""Venerable...as a king crowned with many winters...hale as a tried warrior in the fulness of his strength.""-LotRII  Home Site: Rivendell ",Warrior Sage Diplomat,3,10.0,4.0,-,7.0,9.0,-,Rivendell ,unique,character,Noldo Elf,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(TW),0,0,0,erurondo,-,Elrond (TW),-,(TW),elrond,Wizards/Elrond.jpg,0.0,1.0,0.0,-,[-],-,metw_elrond.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METW,Character,Hero,TW034,DONE CARD,Uncommon,U,Eomer,Eomer,Eomer,Eomer,Eomer,Eomer,Eomer,eomeru,metw_eomer.jpg,"Unique. +2 direct influence against the Riders of Rohan faction.  ""...one rode forward, a tall man...from his helm as a crest a white horsetail flowed... He bent his clear bright eyes...'I am named Eomer son of Eomund, and I am called Third Marshall of the Riddermark.'""-LotRIII  Home Site: Edoras ",Warrior Ranger,1,3.0,0.0,-,3.0,8.0,-,Edoras ,unique,character,Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(TW),0,0,0,eomeru,-,Eomer (TW),-,(TW),eomer,Wizards/Eomer.jpg,0.0,1.0,0.0,-,[-],-,metw_eomer.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METW,Character,Hero,TW035,DONE CARD,Uncommon,U,Eowyn,Eowyn,Eowyn,Eowyn,Eowyn,Eowyn,Eowyn,eouin,metw_eowyn.jpg,"Unique. Against Nazgul, +6 to her prowess, and his body is halved (round up).  ""'But no living man am I! You look upon a woman. Eowyn I am, Eomund's daughter. ... Begone, if you be not deathless! For living or dark undead, I will smite you, if you touch him.'""-LotRV  Home Site: Edoras ",Warrior Scout,-,2.0,0.0,-,2.0,7.0,-,Edoras ,unique,character,Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(TW),0,0,0,eouin,-,Eowyn (TW),-,(TW),eowyn,Wizards/Eowyn.jpg,0.0,1.0,0.0,-,[-],-,metw_eowyn.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METW,Character,Hero,TW036,DONE CARD,Fixed,F1,Erkenbrand,Erkenbrand,Erkenbrand,Erkenbrand,Erkenbrand,Erkenbrand,Erkenbrand,erukenburando,metw_erkenbrand.jpg,"Unique. +2 direct influence against the Riders of Rohan faction.  ""Amid them strode a man tall and strong. His shield was red. As he came to the valley's brink, he set to his lips a great black horn and blew a ringing blast.""-LotRIII  Home Site: Edoras ",Warrior,1,4.0,2.0,-,5.0,6.0,-,Edoras ,unique,character,Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(TW),0,0,0,erukenburando,-,Erkenbrand (TW),-,(TW),erkenbrand,Wizards/Erkenbrand.jpg,0.0,1.0,0.0,-,[-],-,metw_erkenbrand.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METW,Character,Hero,TW037,DONE CARD,Fixed,F1,Faramir,Faramir,Faramir,Faramir,Faramir,Faramir,Faramir,huaramia,metw_faramir.jpg,"Unique. +2 direct influence against the Rangers of Ithilien faction.  ""He could see Faramir's face, which was now unmasked: it was stern and commanding, and a keen wit lay behind his searching glance.""-LotRIV  Home Site: Henneth Annun ",Warrior Ranger,2,5.0,1.0,-,5.0,8.0,-,Henneth Annun ,unique,character,Dunadan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(TW),0,0,0,huaramia,-,Faramir (TW),-,(TW),faramir,Wizards/Faramir.jpg,0.0,1.0,0.0,-,[-],-,metw_faramir.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
