Set,name,graphics,text,type,rarity,unique,prowess,body,mind,influence,mp,home_site,skills,race,class,cp,back,sp,specific,strikes,subclass,site_type,site_path,draw,draw_opp,region,haven,playable,auto_attack,special
nec,Grimson the Fearless,Grimson the Fearless.jpg,"Unique. His prowess is only modified by -1 when not tapping to face a strike. If you are a Dragon-lord, Grimson may play allies normally playable only by your Dragon-lord; he may control a maximum of two such allies. If in the same company, you may transfer any allies your Dragon-lord controls to Grimson during the organization phase.",Minion Character,R,yes,5/8,,6,1,2,Framsburg,Warrior/Ranger,Man,,,,,,,,,,,,,,,,
nec,Haeldwyn,Haeldwyn.jpg,"Unique. +2 EI against Orc characters with a mind lower than his. If Haeldwyn controls a Stolen Knowledge card, he can use sorcery; if he controls a Lost Knowledge card, he can use spirit-magic.",Minion Character,C,yes,4,9,6,1,2,"Mathlaburg, Tower of the Wolf-friend",Scout/Sage,Man,,,,,,,,,,,,,,,,
nec,Heladil,Heladil.jpg,Unique. Silvan. +2 prowess against Spiders. +2 EI against the Elf factions playable in Mirkwood. Heladil may take spider creatures as trophies if he faced a strike from the attack. Discard a Greenwood the Great from his company to heal Heladil.,Hero Character,R,yes,3,8,3,0,1,"Celebannon, any Refuge in Mirkwood",Warrior/Scout,Elf,,,,,,,,,,,,,,,,
nec,Itangast the Guest-eater,Itangast the Guest-eater.jpg,"Unique. Manifestation of Itangast. Fire-dragon. +2 prowess against Men and Dwarves. +4 to his rolls for offering attempts. -3 to your influence attempts against manifestations of Ando-anca, Smaug, Scatha, and Throkmaw. Your unique gathered bones normally worth 2 mp or more are each worth 2 mp. While Itangast is at Gold Hill, your Orcs and Trolls require one less influence to control.",Stage Resource,C,yes,11,8,10,5,,Gold Hill,,,,,,,,,,,,,,,,,,
nec,Leucaruth the Wrathful,Leucaruth the Wrathful.jpg,"Unique. Manifestation of Leucaruth. Female. Fire-dragon. +2 prowess against Dwarves and -2 to the body of Dwarf strikes against her. Your Dwarf gathered bones are each worth full mp. May normally move one region. If an opponent’s company containing a Dwarf is at a site in Withered Heath or its adjacent regions, she may move to that site (this must result in a legal movement). She must always (attempt to) move to a Dragon’s Den [K] the next turn.",Stage Resource,C,yes,9,8,9,3,,Irerock,,,,,,,,,,,,,,,,,,
nec,Lomaw the Old,Lomaw the Old.jpg,"Unique. Manifestation of Lomaw. Ice-dragon. Can use spirit-magic. +2 to his rolls for riddling and offering attempts. -3 to your influence attempts against manifestations of Agburanar, Gostir, Itangast, and Throkmaw. If an opponent’s company moves through a region in The Northern Waste, you may look at a number of cards from opponent’s hand equal the number of Wildernesses [w] in their site path.",Stage Resource,C,yes,8,8,8,6,,Collarmount,,,,,,,,,,,,,,,,,,
nec,Orc of the Claw,Orc of the Claw.jpg,Dragon-lord only. Discard on a body checkresult of 7. -3 to his influence attempts.,Minion Character,C,,5/7,,3,0,1,any Dragon's Den,Warrior,Orc,,,,,,,,,,,,,,,,
nec,Scatha the Worm,Scatha the Worm.jpg,"Unique. Manifestation of Scatha. Cold-dragon.+2 prowess against Dragons, Drakes, Elves, and Dwarves. -3 to your influence attempts against manifestations of Ando-anca, Angurth, Itangast, and Smaug. tap: when at Gondmaeglom to bring a resource short-event that can be played on a Dragon from your discard pile to your play deck and shuffle.",Stage Resource,C,yes,9,9,10,4,,Gondmaeglom,,,,,,,,,,,,,,,,,,
nec,Smaug the Golden,Smaug the Golden.jpg,"Unique. Manifestation of Smaug. Winged. Fire-dragon. +4 to his riddling rolls. -3 to your influence attempts against manifestations of Ando-anca, Angurth, Itangast, and Scatha. Your non-stored unique ring and treasure items are each worth full mp.",Stage Resource,C,yes,11,8,11,5,,The Lonely Mountain,,,,,,,,,,,,,,,,,,
nec,Talmog,Talmog.jpg,Unique. Dragon-lord only. Leader. +1 EI against Orcs. Discard on a body check result of 8. Trophies he controls grant him twice the bonus for EI to a maximum of +4. Tap a shield he bears to shuffle a Blow Turned he used back into your play deck .,Minion Character,R,yes,7/8,,7,2,2,any Dragon's Den,Warrior/Diplomat,Orc,,,,,,,,,,,,,,,,
nec,Talmog,Talmog.jpg,Dragon-lord only. Leader. +3 EI against Orcs. Discard on a body check result of 8.,Minion Character,R,,7/8,,7,2,2,any Dragon's Den,Warrior/Diplomat,Orc,,,,,,,,,,,,,,,,
nec,The Master,The Master.jpg,"Unique. +2 EI against any faction playable at Lake-town. -1 to his CP. tap: at any time, if at his home site, to prevent any player from bringing into play a Man character at a site in Northern Rhovanion.",Hero Character,R,yes,1,6,4,1,1,Lake-town,Scout/Diplomat,Man,,-1,,,,,,,,,,,,,,
nec,The Master,The Master.jpg,"Unique. +2 EI against any faction playable at Lake-town. -1 to his CP. tap: at any time, if at his home site, to prevent any player from bringing into play a Man character at a site in Northern Rhovanion.",Hero Character,R,yes,1,6,4,1,1,Lake-town,Scout/Diplomat,Man,,-1,,,,,,,,,,,,,,
nec,Throkmaw the Vain,Throkmaw the Vain.jpg,"Unique. Manifestation of Throkmaw. Winged.Fire-dragon. +1 to all body checks resulting from failed strikes he has tapped to face. -3 to your influence attempts against manifestations of Angurth, Itangast, Scatha, and Smaug. tap: if at a Dragon’s Den [K] to give +1 prowess and +1 body to all Orc characters in any of your companies this turn.",Stage Resource,C,yes,9,8,9,3,,Shab Arch,,,,,,,,,,,,,,,,,,
gw,Bain,Bain.jpg,"Unique. +1 prowess against Orcs, Dragons, and Drakes. +1 EI against Men with a home site in Northern Rhovanion. +1 EI against Dwarves.",Hero Character,R,yes,4,8,4,1,1,Dale,Warrior/Ranger,Man,,,,,,,,,,,,,,,,
gw,Daelomin the Ghost-Wing,Daelomin the Ghost-Wing.jpg,"Unique. Manifestation of Daelomin. Female. Winged. Cold-dragon. Can use sorcery. +2 EI against male characters. +4 to her rolls for flattery and offering attempts. If no other characters or allies are in her company, her company’s normal hazard limit is two. tap: if at a Dragon’s Den [K] to cancel an effect that would raise the hazard limit for one of your companies.",Stage Resource,C,yes,7,8,8,6,,Dancing Spire,,,,,,,,,,,,,,,,,,
gw,Dragon's Disciple,Dragon's Disciple.jpg,"Dragon-lord only. Can use spirit-magic. +2 EI against Men. Is considered a Dragon-lord for the purpose of playing and interpreting Wielder of Old Arts; to play this card on Dragon’s Deciple, he must be in a company with your Dragon-lord and your Dragon-lord must tap. Cannot be duplicated by a given player.",Minion Character,U,,5/8,,5,1,2,any Dragon’s Den,Warrior/Diplomat,Man,,,,,,,,,,,,,,,,
gw,Durlog,Durlog.jpg,Unique. Dragon-lord only. Leader. Discard on a body check result of 8. +2 EI against Orcs. Orcs and Trolls in his company may store any trophies they control during the end-of-turn phase at one of your Dragon’s Dens [K].,Minion Character,R,yes,5,8,5,1,2,any Dragon's Den,Warrior/Ranger,Orc,,,,,,,,,,,,,,,,
gw,Eärcaraxë the Sea-fang,Eärcaraxë the Sea-fang.jpg,"Unique. Manifestation of Eärcaraxë. Female. Cold-dragon. May normally move two Coastal Sea [c] regions. -2 prowess while not at or moving to a site in a Coastal Sea region. +2 to her rolls to bring/keep characters and allies into play. +4 to her rolls for offering and flattery attempts. -3 to your influence attempts against manifestations of Canadras, Gondring, and Scorba.",Stage Resource,C,yes,10,8,9,7,,Isle of the Ulond,,,,,,,,,,,,,,,,,,
gw,Eodoric,Eodoric.jpg,Unique. +1 prowess against Animals and Wolves. tap: during your organization phase at a site in Northern Rhovanion to force an opponent to reveal three cards at random from his hand.,Hero Character,C,yes,2,7,2,0,,any Border-hold in Northern Rhovanion,Scout/Ranger,Man,,,,,,,,,,,,,,,,
gw,Fram Wyrmslayer,Fram Wyrmslayer.jpg,"Unique. Grey agent. Manifestation of Fram Framson. +3 prowess against Dragons and Drakes. May not be among the starting characters. Agent only: tap: during the movement/hazard phase at a site where an opponent’s Dragon faction is in play, to face the associated Dragon attack; any resulting body checks after the attack are modified by +1. If the attack is defeated, place the faction in the out of play pile. If Fram is eliminated, opponent receives him as kill mp.",Hero Resource,R,yes,5,8,5,0,2,Framsburg,,,Warrior/Ranger Man,,,,,,,,,,,,,,,
gw,Grashûkh,Grashûkh.jpg,Unique. Uruk-hai. Leader. Discard on a body check result of 8. +2 prowess against Dragons and Drakes. +2 EI against Orcs. May not be in a company with a Dragon. tap: during the organization phase to allow his company to move through a mountain region (and not stop at a site therein).,Minion Character,C,yes,6,8,6,0,2,"Deep Cleft, Mount Gundabad",Warrior/Ranger,Orc,,,,,,,,,,,,,,,,
gw,Grim-faced Northman,Grim-faced Northman.jpg,"Dragon-lord only. tap: during the site phase, if at one of his home sites, to take one character, ally, or faction playable there from your discard pile or play deck (reshuffle) to your hand.",Minion Character,C,,3,7,3,0,1,any site in Northern or Southern Rhovanion,Warrior/Ranger,Man,,,,,,,,,,,,,,,,
gw,Grimbeorn the Old,Grimbeorn the Old.jpg,Unique. +2 prowess against Orcs. +2 EI against the Beornings faction. Grimbeorn is considered Beorn for the purpose of playing and interpreting Skin-changer. Discard if you have Bad Company in play.,Hero Character,R,yes,6,8,6,1,2,Beorn's House,Warrior/Ranger,Man,,,,,,,,,,,,,,,,
gw,Grimson the Fearless,Grimson the Fearless.jpg,"Unique. His prowess is only modified by -1 when not tapping to face a strike. If you are a Dragon-lord, Grimson may play allies normally playable only by your Dragon-lord; he may control a maximum of two such allies. If in the same company, you may transfer any allies your Dragon-lord controls to Grimson during the organization phase.",Minion Character,R,yes,5/8,,6,1,2,Framsburg,Warrior/Ranger,Man,,,,,,,,,,,,,,,,
gw,Haeldwyn,Haeldwyn.jpg,"Unique. +2 EI against Orc characters with a mind lower than his. If Haeldwyn controls a Stolen Knowledge card, he can use sorcery; if he controls a Lost Knowledge card, he can use spirit-magic.",Minion Character,C,yes,4,9,6,1,2,"Mathlaburg, Tower of the Wolf-friend",Scout/Sage,Man,,,,,,,,,,,,,,,,
gw,Heladil,Heladil.jpg,Unique. Silvan. +2 prowess against Spiders. +2 EI against the Elf factions playable in Mirkwood. Heladil may take spider creatures as trophies if he faced a strike from the attack. Discard a Greenwood the Great from his company to heal Heladil.,Hero Character,R,yes,3,8,3,0,1,"Celebannon, any Refuge in Mirkwood",Warrior/Scout,Elf,,,,,,,,,,,,,,,,
gw,Itangast the Guest-eater,Itangast the Guest-eater.jpg,"Unique. Manifestation of Itangast. Fire-dragon. +2 prowess against Men and Dwarves. +4 to his rolls for offering attempts. -3 to your influence attempts against manifestations of Ando-anca, Smaug, Scatha, and Throkmaw. Your unique gathered bones normally worth 2 mp or more are each worth 2 mp. While Itangast is at Gold Hill, your Orcs and Trolls require one less influence to control.",Stage Resource,C,yes,11,8,10,5,,Gold Hill,,,,,,,,,,,,,,,,,,
gw,Leucaruth the Wrathful,Leucaruth the Wrathful.jpg,"Unique. Manifestation of Leucaruth. Female. Fire-dragon. +2 prowess against Dwarves and -2 to the body of Dwarf strikes against her. Your Dwarf gathered bones are each worth full mp. May normally move one region. If an opponent’s company containing a Dwarf is at a site in Withered Heath or its adjacent regions, she may move to that site (this must result in a legal movement). She must always (attempt to) move to a Dragon’s Den [K] the next turn.",Stage Resource,C,yes,9,8,9,3,,Irerock,,,,,,,,,,,,,,,,,,
gw,Lomaw the Old,Lomaw the Old.jpg,"Unique. Manifestation of Lomaw. Ice-dragon. Can use spirit-magic. +2 to his rolls for riddling and offering attempts. -3 to your influence attempts against manifestations of Agburanar, Gostir, Itangast, and Throkmaw. If an opponent’s company moves through a region in The Northern Waste, you may look at a number of cards from opponent’s hand equal the number of Wildernesses [w] in their site path.",Stage Resource,C,yes,8,8,8,6,,Collarmount,,,,,,,,,,,,,,,,,,
gw,Orc of the Claw,Orc of the Claw.jpg,Dragon-lord only. Discard on a body checkresult of 7. -3 to his influence attempts.,Minion Character,C,,5/7,,3,0,1,any Dragon's Den,Warrior,Orc,,,,,,,,,,,,,,,,
gw,Scatha the Worm,Scatha the Worm.jpg,"Unique. Manifestation of Scatha. Cold-dragon.+2 prowess against Dragons, Drakes, Elves, and Dwarves. -3 to your influence attempts against manifestations of Ando-anca, Angurth, Itangast, and Smaug. tap: when at Gondmaeglom to bring a resource short-event that can be played on a Dragon from your discard pile to your play deck and shuffle.",Stage Resource,C,yes,9,9,10,4,,Gondmaeglom,,,,,,,,,,,,,,,,,,
gw,Smaug the Golden,Smaug the Golden.jpg,"Unique. Manifestation of Smaug. Winged. Fire-dragon. +4 to his riddling rolls. -3 to your influence attempts against manifestations of Ando-anca, Angurth, Itangast, and Scatha. Your non-stored unique ring and treasure items are each worth full mp.",Stage Resource,C,yes,11,8,11,5,,The Lonely Mountain,,,,,,,,,,,,,,,,,,
gw,Talmog,Talmog.jpg,Unique. Dragon-lord only. Leader. +1 EI against Orcs. Discard on a body check result of 8. Trophies he controls grant him twice the bonus for EI to a maximum of +4. Tap a shield he bears to shuffle a Blow Turned he used back into your play deck .,Minion Character,R,yes,7/8,,7,2,2,any Dragon's Den,Warrior/Diplomat,Orc,,,,,,,,,,,,,,,,
gw,Talmog,Talmog.jpg,Dragon-lord only. Leader. +3 EI against Orcs. Discard on a body check result of 8.,Minion Character,R,,7/8,,7,2,2,any Dragon's Den,Warrior/Diplomat,Orc,,,,,,,,,,,,,,,,
gw,The Master,The Master.jpg,"Unique. +2 EI against any faction playable at Lake-town. -1 to his CP. tap: at any time, if at his home site, to prevent any player from bringing into play a Man character at a site in Northern Rhovanion.",Hero Character,R,yes,1,6,4,1,1,Lake-town,Scout/Diplomat,Man,,-1,,,,,,,,,,,,,,
gw,The Master,The Master.jpg,"Unique. +2 EI against any faction playable at Lake-town. -1 to his CP. tap: at any time, if at his home site, to prevent any player from bringing into play a Man character at a site in Northern Rhovanion.",Hero Character,R,yes,1,6,4,1,1,Lake-town,Scout/Diplomat,Man,,-1,,,,,,,,,,,,,,
gw,Throkmaw the Vain,Throkmaw the Vain.jpg,"Unique. Manifestation of Throkmaw. Winged.Fire-dragon. +1 to all body checks resulting from failed strikes he has tapped to face. -3 to your influence attempts against manifestations of Angurth, Itangast, Scatha, and Smaug. tap: if at a Dragon’s Den [K] to give +1 prowess and +1 body to all Orc characters in any of your companies this turn.",Stage Resource,C,yes,9,8,9,3,,Shab Arch,,,,,,,,,,,,,,,,,,
nec,Against the Eye,Against the Eye.jpg,"Dragon-lord specific. Playable during the site phase on your Dragon-lord’s current Shadow-hold [S], if you have at least 4P. Your Dragon-lord faces an attack: Troll – 1 strike at 15 (cannot be cancelled or redirected). Following the attack tap your Dragon-lord and the site or discard this card. All versions of this site become a Ruins & Lairs [R]; this site is never discarded and never untaps for you.",Minion Resource,C,,,,,,3,,,,Permanent-event,,,2,Dragon-lord,,,,,,,,,,,
nec,Agburanar the Sun-Shrouder,Agburanar the Sun-Shrouder.jpg,"Unique. Manifestation of Agburanar. Cold-dragon. May not move. WWhile at a Dragon’s Den K, your maximum hand size increases by one.tap if at a Dragon’s Den K to give +1 prowess and +1 body to all Orc characters in any of your companies until the end of the turn.",Stage Resource,C,yes,9,9,9,4,,Caves of Ûlond,,,,,,,,,,,,,,,,,,
nec,Appetite,Appetite.jpg,Playable on a Dragon character not at a Dragon’s Den [K]. -3 to all his rolls to bring a character into play or to keep a character in play. Discard this card if such a roll fails. Cannot be duplicated on a given Dragon.,Minion Resource,C,,,,,,,,,,Permanent-event,,,1,,,,,,,,,,,,
nec,Army of Bats,Army of Bats.jpg,"Flying. Playable at any tapped or untapped Shadow-hold [S] or Dark-hold [D] if the influence check is greater than 9. Standard Modifications: Each Great Bats or Swarm of Bats with the company (+2). Once in play, the number required to influence this faction is 0. This faction is worth 1 mp if you have a unique Orc faction in play at the site where it was played. tap: during your movement/hazard phase to cancel the effects of The Sun Shone Fiercely or Glance of Arien for one of your moving companies or characters this turn.Cannot be duplicated at a given site.",Minion Resource,C,,,,,,(1),,,,Animal Faction,,,,,,,,,,,,,,,
nec,Artful Words,Artful Words.jpg,"Dragon-lord specific. Dragon-magic. Playable on your Dragon-lord. +5 to his EI this turn, or +3 to one of his rolls for a flattery, riddling or offering attempt. Cannot be duplicated on a given turn.",Minion Resource,C,,,,,,,,,,Short-event,,,,Dragon-lord,,,,,,,,,,,
nec,Aryen the Beastmaster,Aryen the Beastmaster.jpg,"Unique. Grey Agent. +3 EI against animal factions. tap: cancel an Animal, Spider or Wolf attack against his company. Agent only: tap: allow one non-unique Animal, Spider or Wolf hazard creature to be played keyed to his current Border-hold [B] or Ruins & Lairs [R]. The creature must be keyable to a non-Coastal Sea region.",Hero Resource,R,yes,4,8,6,1,2,Mountains of Mirkwood,,,Scout/Ranger Man,,,,,,,,,,,,,,,
nec,Aura of Fear,Aura of Fear.jpg,"Dragon-magic. Playable on a Dragon- character’s company during CvCC, before strikes are assigned. Make a roll for each character in opponent’s company. If the roll is higher than the character’s mind, he is tapped. Alternatively, playable on a magic using Dragon character facing a non-automatic- attack. The attack is cancelled.Cannot be duplicated on a given turn.",Minion Resource,U,,,,,,,,,,Short-event,,,,,,,,,,,,,,,
nec,Azog's Scimitar,Azog's Scimitar.jpg,"Unique. Hoard item. Weapon. Warrior only: +2 prowess to a maximum of 9 (maximum of 11 against Dwarves). If borne by an Orc leader: +4 prowess against Dwarves, +2 EI against Orcs, 3 mp and 3 CP.",Minion Resource,C,yes,+2(+4),-,,+2,2(3),,,,Major Item,2(3),,,,,,,,,,,,,,
nec,Bairanax the Bear-Hunter,Bairanax the Bear-Hunter.jpg,"Unique. Manifestation of Bairanax. Winged. Cold-dragon. May not move. Creatures Bairanax kill are worth an extra marshalling point.While at a Dragon’s Den K, one animal hazard can be played against each of your opponent’s company without counting against the hazard limit.",Stage Resource,C,yes,8,7,7,3,,Ovir Hollow,,,,,,,,,,,,,,,,,,
nec,Bardings,Bardings.jpg,"Men. Each character in the company faces a strike (detainment against covert and hero companies). May be played keyed to Dorwinion, Grey Mountain Narrows, Iron Hills, Northern Rhovanion, or Southern Rhovanion; and may also be played at non-Haven sites in these regions. May also be played on Dale or Lake- town, creating an additional automatic-attack (discard Bardings at the end of the site phase). May not be played against a covert or hero company containing a character with a home site in Dorwinion, Northern Rhovanion, or Southern Rhovanion.",Hazard,C,,10/6,,,,2*,,,,Creature,,,,,"men. each character in the company faces a strike (detainment against covert and hero companies). may be played keyed to dorwinion, grey mountain narrows, iron hills, northern rhovanion, or southern rhovanion; and may also be played at non-haven sites in these regions. may also be played on dale or lake- town, creating an additional automatic-attack (discard bardings at the end of the site phase). may not be played against a covert or hero company containing a character with a home site in dorwinion, northern rhovanion, or southern rhovanion.",Men,,,,,,,,,
nec,Beast-thrall,Beast-thrall.jpg,"Unique. Jewel. Playable at Tower of the Wolf-friend.Sage only: tap sage and make a roll (+3 for magic users)when facing a Drake creature attack against his company. If the result plus his mind is greater than the attack’s prowess, place the creature with this item; it becomes an ally with a normal prowess -7 (cannot be influenced). Only one creature may be with this item at any time. During the untap phase, make the same roll as if the creature would attack (discard creature if the roll fails, or if you so choose). Values in parentheses apply when a creature is with this item.",Minion Resource,C,yes,,,,,2(3),,,,Special Item,2(4),,,,,,,,,,,,,,
nec,Birth-spot,Birth-spot.jpg,"Playable on a Dragon character. He receives -3 body. When the Dragon-character does not tap to face a strike of an attack, he receives an additional -3 prowess penalty. If at his home site (or any Dragon’s Den [K]) during his organization phase, target Dragon may tap to discard this card. Cannot be duplicated.",Hazard,C,,(-3),-3,,,,,,,Permanent-event,,,,,,,,,,,,,,,
nec,Breed Desire,Breed Desire.jpg,Dragon-lord specific. Your GI is increased bya number based on the mp of your stored hoard items: 1 - 5 mp: +1; 7 - 11 mp: +3; 12 - 17 mp: +5; 18 or more mp +7.Cannot be duplicated by a given player.,Minion Resource,U,,,,,,,,,,Permanent-event,,,1,Dragon-lord,,,,,,,,,,,
nec,Calm Song,Calm Song.jpg,"Magic. Spirit-magic. Song. Playable on a spirit-magic using character whose company faces a non- automatic, non-maia attack. The attack becomes detainment. Unless he is a Ringwraith, the character makes a CP modified by -3.",Hero Resource,C,,,,,,,,,,Short-event,,,,,,,,,,,,,,,
nec,Cave of the Urdharkonur,Cave of the Urdharkonur.jpg,,Hero Site,U,yes,,,,,,,,,,,1,,,,,{B},{w}{b}{b}{w},2,2,Northern Rhovanion,Lórien,Items (minor),Men — 4 strikes with 7 prowess (detainment).,"Discard a Man character from hand during the site phase to heal (from wounded to untapped) a character at the site. Alternatively, discard Bain, Bard Bowman or Brand from your hand to heal (from wounded to untapped) all characters at the site. For either use tap the site."
nec,Cave of the Urdharkonur,Cave of the Urdharkonur.jpg,,Minion Site,U,yes,,,,,,,,,,,1,,,,,{B},{d}{w}{w},2,2,Northern Rhovanion,Dol Guldur,Items (minor),Men — each character faces a strike with 7 prowess (detainment against covert company),Discard a Man character from hand to heal (from wounded to untapped) a character in a covert company at the site. Tap the site if untapped.
nec,Claws Sharpened,Claws Sharpened.jpg,Playable on a Dragon. Each strike against the Dragon receives -1 prowess and -1 body (-2/-2 for a non-warrior Dragon). Discard this card after a strike against the Dragon fails. Cannot be duplicated on a given Dragon.,Minion Resource,U,,,,,,,,,,Permanent-event,,,,,,,,,,,,,,,
nec,Cursed Treasure,Cursed Treasure.jpg,"Corruption. Playable on-guard at a Dragon’s Lair, if the corresponding Dragon is in active play but not at the site. Reveal and place this card on a character after playing a treasure item or an item stored at (any version of) the site; the character receives 4 corruption points and must immediately make a CP.",Hazard,C,,,,,,,,,,Permanent-event,4,,,,,,,,,,,,,,
nec,Daelomin the Ghost-Wing,Daelomin the Ghost-Wing.jpg,Unique. Manifestation of Daelomin. Female. Winged. Cold-dragon. May not move. Can use sorcery. +4 to her rolls for flattery attempts. tap: if at a Dragon’s Den [K] to cancel an effect that would raise the hazard limit for one of your companies.,Stage Resource,C,yes,7,8,8,6,,Dancing Spire,,,,,,,,,,,,,,,,,,
nec,Dragon Hunters,Dragon Hunters.jpg,"Dwarves. 4 strikes. +4 prowess and -1 to target’s body against companies containing a Dragon or Drake. May only be played against an overt company. Dragon Hunters receives an additional +1 prowess for every Gathered Bones of Dwarf characters or Dwarf factions in opponent’s mp. May be played keyed to any region containing a Dragon’s lair or Dwarf-hold, and keyed on any non-Haven site in those regions.",Hazard,C,,8,-,,,1*,,,,Creature,,,,,4,Dwarves,,,,,,,,,
nec,Dragon Mindbend,Dragon Mindbend.jpg,"Dragon-lord specific. Playable on a company. A character (even a non-Dwarf hero) with a mind up to 8 may be played with the company at a Dragon’s Den [K]; place this card with the character. -2 to his mind to a minimum of 4. No rolls are required for this character to stay in play. This card may also be played with a starting company in lieu of a minor item (reveal it when starting companies are determined as if it were a character). Alternatively, may also be played on a character in an opponent’s company at your Dragon-lord’s site. All influence attempts against this character are modified by +4; if the attempt is successfull, the characacter joins your company. Cannot be duplicated by a given Dragon-lord.",Minion Resource,U,,,,-2,,,,,,Permanent-event,,,1,Dragon-lord,,,,,,,,,,,
nec,Dragon's Abode,Dragon's Abode.jpg,Dragon-lord specific. Playable on a Dragon’s Den [K]. The site is never discarded or returned to the location deck. You may discard this card during the organization phase. This card is worth 1 mp if played on a Dragon’s Den that is not your Dragon-lord’s home site. Cannot be duplicated on a given site.,Minion Resource,C,,,,,,(1),,,,Permanent-event,,,1,Dragon-lord,,,,,,,,,,,
nec,Dragon's Den,Dragon's Den.jpg,,Fallen-wizard Site,C,,,,,,,,,,,,1,1,,,,{K},,2,2,Special,,,,"Dragon-lord only. Place this card on your Dragon-lord's home site (or any site that has become one of your Dragon's Dens). The site is considered a Darkhaven [K] for your companies. Nothing is considered playable here as written on the site card. All attacks against your companies at the site are cancelled, except CvCC involving a Dragon. You may store items at this site during the end-of-turn phase. Whenever you store an item at this site, any opponent may take a version of the item from his sideboard to his hand. This card returns to your location deck when its associated site leaves active play."
