Name	Set	Imagefile	Type	Class	Race	Skills	HomeSite	Mind	Influence	GI	Prowess	Body	Strikes	Playable	MP	SP	Magic	Specific	Corruption	Region	SitePath	Draw	OpponentDraw	Rarity	Text
Cruel Claw Perceived	WhiteHand	CruelClawPerceived	Hazard	Permanent-event																				R3	Playable on a Wizard, Fallen-wizard, or Ringwraith. His general influence is modified by -1. If he is a Fallen-wizard, this modifier is instead: -9 if his stage points (SPs) exceed 20, -7 if his SPs exceed 15, -5 if his SPs exceed 10, or -3 if his SPs exceed 5 (use the first modifier that applies). Additionally, the Fallen-wizard's hand size is reduced by 1 if his SPs exceed 10, and by 1 more if his SPs exceed 20. Cannot be duplicated on a given character. Discard when any play deck is exhausted.
Echoes of the Song	WhiteHand	EchoesoftheSong	Hazard	Short-event																				C4	If your opponent has more than one stage card and 4 or more stage points, he must discard one stage card of his choice. Alternatively, force a target character to make a corruption check. Remove this card from the game.
Flotsam and Jetsam	WhiteHand	FlotsamandJetsam	Hazard	Permanent-event																				R3	If a player has 15 or fewer cards in his play deck (20 or fewer if a Fallen-wizard), all effects are automatically canceled which allow him to search through or look at any portion of his play deck or discard pile outside of the normal sequence of play. Discard when any play deck is exhausted. Cannot be duplicated.
Fool's Bane	WhiteHand	FoolsBane	Hazard	Permanent-event																				U3	Playable on a Fallen-wizard. Influence checks he makes against hero resources are modified by: -9 if his stage points (SPs) exceed 18, -7 if his SPs exceed 12, -5 if his SPs exceed 7, -3 if his SPs exceed 3, or -1 if his SPs exceed 0 (use the first modifier that applies). Additionally, his Elf characters and Elf factions are each worth 0 marshalling points in all cases. Cannot be duplicated on a given Fallen-wizard. Discard when any play deck is exhausted. Does not affect an Elf-lord player. 
Foul Tooth Unsheathed	WhiteHand	FoulToothUnsheathed	Hazard	Permanent-event																				C3	Playable if your opponent is a Fallen-wizard. If your opponent has 7 or more stage points and is not Alatar, hazards his companies defeat (while this card is in play) without an asterisk [*] are worth no marshalling points. This card overrides any conflicting resources. Does not affect a lord player.
Goblin-faces	WhiteHand	Goblinfaces	Hazard	Creature	Orcs, Men						7	-	3	{b}{s}{B}	1									R3	Orcs. Men. Three strikes. Following the attack, the attacker looks at a number of cards from the top of the defender's play deck equal to the number of successful strikes of the attack. The attacker may place any of these cards face down on the bottom of the defender's play deck (in any order he chooses). He places the rest on top of the defender's deck (in any order he chooses).
Heart Grown Cold	WhiteHand	HeartGrownCold	Hazard	Permanent-event																				U3	Fallen-wizard players must use minion site cards for hero Havens. If a Fallen-wizard has more than 4 stage points, his player must also use minion site cards for Free- holds. If a Fallen-wizard has more than 7 stage points, his player must also use minion site cards for Border-holds.
In the Grip of Ambition	WhiteHand	IntheGripofAmbition	Hazard	Permanent-event												2(3)			1					C3	Corruption. Playable on a Fallen-wizard or a Wizard. He receives 1 corruption point (CP). If he is a Fallen-wizard, he receives 2 stage points. If he has more than 7 stage points, he receives an additional stage point. Cannot be duplicated on a given character. During his organization phase, target may tap to attempt to remove this card. Make a roll - if this result is greater than 8, discard this card.
Inner Rot	WhiteHand	InnerRot	Hazard	Permanent-event												2			1(*)					R3	Corruption. Playable on a Wizard or a Fallen-wizard. He receives 1 corruption point (CP). If he is a Fallen-wizard, he receives 2 stage points and the CPs received are instead: 4 CPs if his stage points (SPs) exceed 18, 3 CPs if his SPs exceed 11, 2 CPs if his SPs exceed 5, 1 CP if his SPs exceed 0 (use the first that applies). The target makes a corruption check whenever his controlling player plays a stage card. Cannot be duplicated on a given character. During his organization phase, target may tap to attempt to remove this card. Make a roll - if this result is greater than 6, discard this card.
Ire of the East	WhiteHand	IreoftheEast	Hazard	Short-event																				C4	Targets and cancels one minion short-event played by a Fallen-wizard earlier in the same chain of effects. This card can be played at any time and does not count against the hazard limit. Remove this card from the game.
Longing for the West	WhiteHand	LongingfortheWest	Hazard	Permanent-event															2					U3	Corruption. Playable on a Wizard or a Fallen-wizard. He receives 2 corruption points and makes a corruption check at the end of his untap phase if not at a Haven (or Wizardhaven). Cannot be duplicated on a given character. During his organization phase, target may tap to attempt to remove this card. Make a roll - if this result is greater than 6, discard this card. May not be played on a Dwarf-lord or Atani-lord player.
Mask Torn	WhiteHand	MaskTorn	Hazard	Permanent-event																				R3	Fallen-wizards may not bring characters with more than 4 mind into play. If a Fallen-wizard has more than 9 stage points, he may not bring characters with more than 3 mind into play. Discard when any play deck is exhausted. May not be played on a lord player.
Nature's Revenge	WhiteHand	NaturesRevenge	Hazard	Permanent-event																				R3	Playable on a site in a Wilderness that normally is a Border-hold or a Shadow-hold, or on a non-protected Wizardhaven in a Wilderness. All versions of the site become Ruins and Lairs and each gains an additional automatic- attack: Animals - each character faces 1 strike with 7 prowess. Discard this card when the site is discarded or returned to its location deck.
Power Relinquished to Artifice	WhiteHand	PowerRelinquishedtoArtifice	Hazard	Permanent-event																				R3	Playable on a Wizard, Fallen-wizard, or Ringwraith. His prowess and direct influence are each modified by -1. If he is a Fallen-wizard, these modifiers are instead: -5 if his stage points (SPs) exceed 20, -4 if his SPs exceed 15, -3 if his SPs exceed 10, -2 if his SPs exceed 5 (use the first modifier that applies). For Alatar and Radagast, reduce the modifier to 0 for prowess and double it for direct influence. Cannot be duplicated on a given character. Discard when any play deck is exhausted.
Rolled down to the Sea	WhiteHand	RolleddowntotheSea	Hazard	Short-event																				R2	Unique. Opponent must discard a ring from his hand or from one of his companies if available. If no rings are available as such, he must reveal his hand to you.
Something Else at Work	WhiteHand	SomethingElseatWork	Hazard	Permanent-event																				R3	Playable on a character. Any influence check he makes is modified by -1 and any test for a gold ring in his company is modified by -1. If he is a Fallen-wizard, these modifiers are both instead: -4 if his stage points (SPs) exceed 14, -3 if his SPs exceed 9, -2 if his SPs exceed 4, -1 is his SPs exceed 0 (use the first modifier that applies). Cannot be duplicated on a given character. Discard when any play deck is exhausted.
Whole Villages Roused	WhiteHand	WholeVillagesRoused	Hazard	Short-event																				R3	Playable on a hero Border-hold or Free-hold . The site has the automatic- attacks indicated on the corresponding minion site card (detainment against hero companies) but with +2 prowess. Alternatively, playable on a minion Shadow-hold or Dark-hold. The site has the automatic-attacks indicated on the corresponding hero site card (detainment against overt companies) but with +2 prowess.
Will You Not Come Down?	WhiteHand	WillYouNotComeDown	Hazard	Permanent-event												4								U3	Playable on a Fallen-wizard at a Wizardhaven . Your opponent must choose to either: discard from play enough stage cards (of his choice) to reduce his stage point total below 7 or to receive 4 stage points. Cannot be duplicated on a given Fallen-wizard.
A Panoply of Wings	WhiteHand	APanoplyofWings	Hero Resource	Faction	Animal 										1									C3	Playable at any tapped or untapped non-Haven, non-Shadow-hold, non-Dark- hold site in a Wilderness if the influence check is greater than 11. Standard Modifications: if Radagast is your Wizard (+3). Discard this faction to make information playable at such a site.
Beasts of the Wood	WhiteHand	BeastsoftheWood	Hero Resource	Faction	Animal 										1									C3	Playable at any tapped or untapped non-Haven, non-Darkhaven, non-Dark-hold site in Woodland Realm, Western Mirkwood, Heart of Mirkwood, Southern Mirkwood, Fangorn, or Cardolan if the influence check is greater than 11. Standard Modifications: if Radagast is your Wizard (+3). Tap this faction to cancel an attack keyed by name to one of the regions listed above. May also be used as a minion resource card that is only playable by a character in a covert company.
Noble Steed	WhiteHand	NobleSteed	Hero Resource	Ally				1			0	8			1									C4	Horse. Playable at any tapped or untapped non-Haven site in Rohan, Southern Rhovanion, Khand, Dorwinion, Horse Plains, or Harondor. If each character in a company controls a Noble Steed (or Bill the Pony or Shadowfax), the company may move up to two additional regions. Tap to cancel a strike (not from an automatic-attack) against its bearer or itself.
Promptings of Wisdom	WhiteHand	PromptingsofWisdom	Hero Resource	Permanent-event															2					U3	Light Enchantment. Playable during the organization phase on a ranger. Target ranger may tap to cancel all hazard effects for the rest of the turn that: force his company to return to its site of origin or that tap his company's current or new site. If so tapped, target ranger makes a corruption check. Cannot be duplicated in a given company.
The White Council	WhiteHand	TheWhiteCouncil	Hero Resource	Permanent-event											1									R3	Playable during your organization phase in your marshalling point pile if your Wizard is in a Haven and you have more marshalling points than your opponent. Your opponent must be a Fallen-wizard or a Wizard. Cannot be duplicated on a given turn.
The White Wizard	WhiteHand	TheWhiteWizard	Hero Resource	Permanent-event											2									R2	Unique. Playable on a Wizard with Sacrifice of Form. +2 to his direct influence, +1 to all of his corruption checks. Discard if Saruman is in play as an opposing Wizard.
Wild Horses	WhiteHand	WildHorses	Hero Resource	Faction	Animal 										1									R3	Playable at any tapped or untapped non-Haven site in Rohan, Southern Rhovanion, Khand, Dorwinion, Horse Plains, or Harondor if the influence check is greater than 11. Standard Modifications: Men with home sites in the regions listed above (+3). Tap this faction to allow any company with one of the regions listed above in its site path to move up to 1 additional region.
Wild Hounds	WhiteHand	WildHounds	Hero Resource	Faction	Animal 										1									U3	Playable at any tapped or untapped Ruins and Lairs in a Wilderness if the influence check is greater than 11. Standard Modifications: if Radagast is your Wizard (+3). Discard this faction to cancel an automatic-attack at a Ruins and Lairs or an attack keyed to Wilderness or Ruins and Lairs. May also be used as a minion resource card that is only playable by a character in a covert company.
Doeth (Durthak)	WhiteHand	DoethDurthak	Minion Character		Orc	Warrior/Sage	Any Dark-hold	4	0		4	9			1									R2	Unique. Half-orc. Discard on a body check result of 9.
Euog (Ulzog)	WhiteHand	EuogUlzog	Minion Character		Orc	Warrior/Diplomat	Any Dark-hold	5	1		5	9			2									R2	Unique. Half-orc. Leader. Discard on a body check result of 9. +2 direct influence against Orcs and Orc factions.
Ill-favoured Fellow	WhiteHand	IllfavouredFellow	Minion Character		Orc	Warrior/Ranger	Any Dark-hold	3	0		2	9			1									C3	Half-orc. Discard on a body check result of 9.
Lugdush	WhiteHand	Lugdush	Minion Character		Orc	Warrior/Scout	Isengard	4	0		5	8			1									U3	Unique. Uruk-hai. Discard on a body check result of 8.
Sly Southerner	WhiteHand	SlySoutherner	Minion Character		Orc	Warrior/Scout	Any Dark-hold	2	0		1	9			0									C3	Half-orc. Discard on a body check result of 9.
Squint-eyed Brute	WhiteHand	SquinteyedBrute	Minion Character		Orc	Warrior	Any Dark-hold	2	0		3	9			0									C3	Half-orc. Discard on a body check result of 9.
Ugluk	WhiteHand	Ugluk	Minion Character		Orc	Warrior/Ranger	Isengard	5	0		5	9			2									R2	Unique. Uruk-hai. Leader. Discard on a body check result of 9. +3 direct influence against Orcs and Orc factions.
Blasting Fire	WhiteHand	BlastingFire	Minion Resource	Special Item											1				1					C4	Technology. Playable at a tapped or untapped Shadow-hold, Dark-hold, or a site with a Dwarf automatic-attack. Discard to cancel all automatic-attacks at a site against the bearer's company, any influence attempts against factions at the site this turn are modified by +2.
Counterfeit	WhiteHand	Counterfeit	Minion Resource	Permanent-event													Spirit-magic							R3	Magic. Spirit-magic. Playable on an Orc character in a spirit-magic using character's company. The Orc is considered to be a Half-orc for all purposes. Unless he is a Ringwraith, the spirit-magic using character makes a corruption check modified by -3. Discard if the Orc character is in a company that does not contain a spirit-magic using character.
Crept Along Cleverly	WhiteHand	CreptAlongCleverly	Minion Resource	Short-event																				C4	Ranger only. Cancels a Wolf, Animal, Spider, Dragon, Drake, or Undead attack against a ranger's company.
Govern the Storms	WhiteHand	GoverntheStorms	Minion Resource	Short-event													Sorcery							R3	Magic. Sorcery. Cancel all hazard effects for the rest of the turn that: force a sorcery-using character's company to return to its site of origin or would tap its current or new site. Unless he is a Ringwraith, the sorcery using character makes a corruption check modified by -4.
Liquid Fire	WhiteHand	LiquidFire	Minion Resource	Special Item											1				1					R3	Technology. Playable at a tapped or untapped Shadow-hold, Dark-hold, or a site with a Dwarf automatic-attack. Discard to cause all strikes from all attacks of a non- Dragon, non-Nazgûl, non-Balrog creature keyed to a site to fail.
Mechanical Bow	WhiteHand	MechanicalBow	Minion Resource	Major Item							2	-1			1				1					C4	Weapon. Technology. -1 to bearer's body. Warrior only: +2 prowess to a maximum of 8; -1 to the body of any strike its bearer faces if he taps to face the strike.
Open to the Summons	WhiteHand	OpentotheSummons	Minion Resource	Permanent-event																				U3	Playable on a minion company. One agent minion may be played with target company at a Darkhaven - place this card with the agent. -1 to his mind to a minimum of 1. This card may be played with a starting company in lieu of a minor item. When played as such, reveal it when starting companies are determined as if it were a character. Cannot be duplicated on a given character.
Piercing All Shadows	WhiteHand	PiercingAllShadows	Minion Resource	Permanent-event															3					U3	Playable during the organization phase on a ranger. Target ranger may tap to cancel all hazard effects for the rest of the turn that: force his company to return to its site of origin or that tap his company's current or new site. If so tapped, target ranger makes a corruption check. Cannot be duplicated in a given company.
Poison of his Voice	WhiteHand	PoisonofhisVoice	Minion Resource	Short-event													Spirit-magic							U3	Magic. Spirit-magic. Playable on a hazard permanent-event on a character in a spirit-magic-using character's company. Discard target hazard. Alternatively, playable on a spirit-magic-using Fallen-wizard. -6 to his stage points (to a minimum of 3) for the rest of the turn. Unless the spirit-magic- user is a Ringwraith, he makes a corruption check modified by -3.
Sojourn in Shadows	WhiteHand	SojourninShadows	Minion Resource	Short-event													Shadow-magic							R3	Magic. Shadow-magic. Playable before strikes are assigned on a character facing an attack in a shadow-magic using character's company. Target character cannot be assigned a strike from the attack. Unless he is a Ringwraith, the shadow-magic using character makes a corruption check modified by -4.
The Black Council	WhiteHand	TheBlackCouncil	Minion Resource	Permanent-event											1									R3	Playable during your organization phase in your marshalling points pile if your Ringwraith is in a Darkhaven and you have more marshalling points than your opponent and your opponent is a Ringwraith. Cannot be duplicated on a given turn.
The Fiery Blade	WhiteHand	TheFieryBlade	Minion Resource	Permanent-event																				R3	Playable on your Ringwraith or a Ringwraith follower. Each strike against the Ringwraith receives -1 body (-2 body and -2 prowess against The Witch- king). Discard The Fiery Blade after a strike against the Ringwraith fails or if the Ringwraith has Morgul-blade. Cannot be duplicated.
Vile Fumes	WhiteHand	VileFumes	Minion Resource	Special Item											1				1					U4	Technology. Playable at a tapped or untapped Shadow-hold, Dark-hold, or a site with a Dwarf automatic-attack. Discard during the site phase at a Border- hold or Shadow- hold to make all versions of the site Ruins and Lairs. Its normal automatic-attacks are replaced with: Gas - each character faces 1 strike with 7 prowess (cannot be canceled). Keep Vile Fumes with the site until the site is discarded or returned to its location deck.
White Light Broken	WhiteHand	WhiteLightBroken	Minion Resource	Short-event													Sorcery							U3	Magic. Sorcery. Playable on a sorcery-using character. All of his corruption checks are modified by +2 for the rest of the turn. Alternatively, playable on a sorcery-using Fallen-wizard. -4 to his stage points (to a minimum of 3) for the rest of the turn. Unless the sorcery-using character is a Ringwraith, he makes a corruption check.
A Merrier World	WhiteHand	AMerrierWorld	Stage Resource	Permanent-event												2								C3	Playable if you have more than 7 stage points. Hazards your companies defeat (for which you otherwise get 1 MP) are each worth full kill marshalling points. Cannot be duplicated by a given player.
A New Ringlord	WhiteHand	ANewRinglord	Stage Resource	Permanent-event												3			1					R3	Playable on your Fallen-wizard if he has The One Ring at one of your Wizardhavens. Only one A New Ringlord may be played in a given turn. Make a roll during each of your end-of-turn phases if your Fallen-wizard is bearing The One Ring and is at a Ruins and Lairs where Information is playable. Add 1 for each A New Ringlord you have in play. If the result is less than 6, your fallen-Wizard is eliminated. If the result is greater than 9, you win the game. may not be played by a lord player.
A Strident Spawn	WhiteHand	AStridentSpawn	Stage Resource	Permanent-event											1	4								U3	Unique. Playable if you are Pallando or Saruman and have 6 or more stage points and a protected Wizardhaven. Each of your Half-orcs requires one less point of influence to control. During your organization phase, you may take one Half- orc character from your discard pile to your hand. You may play Half-orc characters at your Wizardhavens, and even if your Fallen-wizard is not there. Cannot be duplicated by a given player.
An Untimely Brood	WhiteHand	AnUntimelyBrood	Stage Resource	Permanent-event											1	4								C3	Playable if you are Radagast or Alatar and have 6 or more stage points and a protected Wizardhaven. One non-unique ally with a mind of 1 is playable at one of your tapped or untapped protected Wizardhavens each of your site phases. Cannot be duplicated by a given player.
Arcane School	WhiteHand	ArcaneSchool	Stage Resource	Permanent-event												1		Pallando						R3	Pallando specific. Sage only. Playable on a non-Hobbit, non-Dwarf sage at one of your Wizardhavens (or in your starting company). The character may use sorcery, spirit- magic, and shadow-magic. Cannot be duplicated on a given character.
Await the Onset	WhiteHand	AwaittheOnset	Stage Resource	Permanent-event											5	3		Gandalf						R2	Gandalf specific. Playable if you are Gandalf and have at least: 12 stage points, two protected Wizardhavens, 4 factions, and 6 characters. Each faction you play after Await the Onset is worth 1 marshalling point regardless of other cards in play (place these factions under Await the Onset). Each of your marshalling point cards in a company not in one of your Wizardhavens when the game ends is worth 1 marshalling point regardless of other cards in play. Cannot be duplicated.
Bad Company	WhiteHand	BadCompany	Stage Resource	Permanent-event												2								C3	You may play Orc and Troll characters and include them in your starting company. Cannot be duplicated by a given player. may not be played by a lord player.
Blind to All Else	WhiteHand	BlindtoAllElse	Stage Resource	Permanent-event												2								C3	Your ring items are each worth full marshalling points. Cannot be duplicated by a given player.
Bow of Alatar	WhiteHand	BowofAlatar	Stage Resource	Permanent-event												2		Alatar	1					R2	Unique. Bow. Alatar specific. Place this card on Alatar if he is in play. If on Alatar, you may tap Bow of Alatar to allow him to face a strike from an attack against his company regardless of the attack's normal capabilities and his status. If such a strike fails, the attack's body is reduced by 1.
Chambers in the Royal Court	WhiteHand	ChambersintheRoyalCourt	Stage Resource	Permanent-event												1		Gandalf						U3	Gandalf specific. Playable on one of your hero Free-hold sites in play. This site becomes a Wizardhaven for your companies, loses all automatic- attacks against your companies, and is one of Gandalf's home sites. Nothing is considered playable as written on the site card. If one of your companies is at this site, all attacks against it are canceled. Other Fallen-wizards may not use this site as a Wizardhaven. Discard this card when the site is discarded or returned to its location deck. It cannot be discarded otherwise. Cannot be duplicated on a given site.
Delver's Harvest	WhiteHand	DelversHarvest	Stage Resource	Permanent-event											1									U3	Ore. Playable during the site phase if one of your companies enters the Deep Mines site.
Double-dealing	WhiteHand	Doubledealing	Stage Resource	Permanent-event												1								C4	Playable on a site. If the site is a minion site, you may play appropriate hero resources there. If the site is a hero site, you may play appropriate minion resources there. Discard when this site is discarded or returned to your location deck.
Earth-eater	WhiteHand	Eartheater	Stage Resource	Permanent-event											1									R3	Technology. Playable during the site phase if one of your companies enters the Deep Mines site and you have more Delver's Harvest cards in play than you have Earth- eater cards. Tap Earth-eater to take a minion non-unique weapon/armor/shield/helmet major item from your sideboard or discard pile to your hand.
Fortress of the Towers	WhiteHand	FortressoftheTowers	Stage Resource	Permanent-event												3								U3	Unique. May not be a starting stage card. Playable if you are Alatar, Pallando, or Saruman. Playable on The White Towers. The White Towers is protected. Other Fallen- wizards may not use the Wizardhaven card for The White Towers. Cards that give marshalling points are not playable at the site by your opponent in all cases. Discard this card when the site is discarded or returned to its location deck.
Friend of Secret Things	WhiteHand	FriendofSecretThings	Stage Resource	Permanent-event												2		Radagast						U3	Unique. Radagast specific. Your companies with a company size of 2 or less may play allies at tapped sites.
Gandalf's Friend	WhiteHand	GandalfsFriend	Stage Resource	Permanent-event												1		Gandalf						U3	Unique. Gandalf specific. Playable on one of your characters at one of your Wizardhavens (or in your starting company). +2 to his direct influence. This character requires 1 point of influence to control and may only be controlled by general influence or Gandalf.
Gatherer of Loyalties	WhiteHand	GathererofLoyalties	Stage Resource	Permanent-event												3								C3	Playable if you have more than 3 stage points. Your unique factions are each worth 2 marshalling points. If you are Alatar, your unique Dragon factions are each worth 4 marshalling points. If you are Pallando, your unique factions normally worth 3 or more marshalling points are each worth 3 marshalling points. Cannot be duplicated by a given player.
Girdle of Radagast	WhiteHand	GirdleofRadagast	Stage Resource	Permanent-event											5	3		Radagast						R2	Radagast specific. Playable on one of your protected Wizardhavens if you are Radagast and have at least 12 SP and 6 allies and/or unique factions in play (the factions must be playable at sites in the Wizardhaven's region or adjacent regions). The Wizardhaven's region and all adjacent regions become Wilderness. Cannot be duplicated.
Give Welcome to the Unexpected	WhiteHand	GiveWelcometotheUnexpected	Stage Resource	Permanent-event												2		Gandalf						R2	Unique. Gandalf specific. Place this card on Gandalf if he is in play. If on Gandalf, your unique non-character cards normally worth 1 marshalling point are each worth 2 marshalling points.
Glove of Radagast	WhiteHand	GloveofRadagast	Stage Resource	Permanent-event												2		Radagast	1					R2	Unique. Radagast specific. Place this card on Radagast if he is in play. Any non-unique ally with 1 mind (a copy of which he does not already control) is considered playable with Radagast at his site. This ally may be taken from your discard pile or hand.
Gnawed Ways	WhiteHand	GnawedWays	Stage Resource	Permanent-event												1								R3	Playable on one of your Deep Mines sites. The Deep Mines site is now adjacent to an Under-deeps site of your choice whose surface site is in a region containing or adjacent to the region containing the Deep Mines surface site. The movement number required to move between these two Under-deeps sites is (7). This card may also be played as a hazard on one of your opponent's Deep Mines sites. Discard this card when Deep Mines is discarded or returned to its location deck. Cannot be duplicated on a given Deep Mines site.
Great Patron	WhiteHand	GreatPatron	Stage Resource	Permanent-event												2								C3	Your characters and allies that normally give 2 or more marshalling points are each worth 2 marshalling points. Cannot be duplicated by a given player.
Great Ruse	WhiteHand	GreatRuse	Stage Resource	Permanent-event											1	1								U3	Playable during the site phase on a Shadow-hold or Dark-hold hero site if you have an overt company there. Replace the hero site card with the corresponding minion site card. Discard when this site is discarded or returned to your location deck. may not be played by a lord player.
Greater Half-orcs	WhiteHand	GreaterHalforcs	Stage Resource	Faction	Orc 										2	1								R3	Playable at one of your protected Wizardhavens (if tapped or untapped) if you have A Strident Spawn and Half-orcs in play and if the influence check is greater than 11. may not be played by a lord player.
Grey Embassy	WhiteHand	GreyEmbassy	Stage Resource	Permanent-event												3		Gandalf						U3	Unique. Gandalf specific. Place this card on Gandalf if he is in play. If on Gandalf, your unique hero factions normally worth 2 or fewer marshalling points are each worth 2 marshalling points. If on Gandalf, your unique hero factions normally worth 3 or more marshalling points are each worth 3 marshalling points.
Guarded Haven	WhiteHand	GuardedHaven	Stage Resource	Permanent-event											1	1								U3	Playable on one of your non-protected Wizardhavens other than Isengard, The White Towers, or Rhosgobel. The site is protected. Cards that give marshalling points are not playable at the site by your opponent in all cases. Cannot be duplicated on a given site.
Half-orcs	WhiteHand	Halforcs	Stage Resource	Faction	Orc 										1	1								U3	Playable at one of your protected Wizardhavens (if tapped or untapped) if you have A Strident Spawn in play and if the influence check is greater than 9. may not be played by a lord player.
Hidden Haven	WhiteHand	HiddenHaven	Stage Resource	Permanent-event												1								C4	Playable on a non-Dragon's lair Ruins and Lairs in a Wilderness, Border-land, or Shadow-land ; the site must normally be a Ruins and Lairs. This site becomes one of your Wizardhavens and loses all automatic-attacks. Nothing is considered playable as written on the site card. If one of your companies is at this site, all attacks against it are canceled. Other Fallen-wizards may not use this site as a Wizardhaven. Discard this card when the site is discarded or returned to its location deck. It cannot be discarded otherwise. May not be played by a Dwarf-lord or Atani-lord player.
Huntsman's Garb	WhiteHand	HuntsmansGarb	Stage Resource	Permanent-event												1		Alatar	1					U3	Unique. Alatar specific. Place this card on Alatar if he is in play. If on Alatar, you may tap Huntsman's Garb during your end-of-turn phase to take Risky Blow, True Fána, or The Hunt from your discard pile to your hand.
Join the Hunt	WhiteHand	JointheHunt	Stage Resource	Permanent-event												2		Alatar						U3	Unique. Alatar specific. Your weapon/shield/ armor/helmet items in Alatar's company are each worth full marshalling points. Your allies with a prowess attribute in Alatar's company are each worth full marshalling points.
Keys of Orthanc	WhiteHand	KeysofOrthanc	Stage Resource	Special Item											2	1			1					R2	Unique. Playable at Minas Tirith. During your organization phase, you may: take The Fortress of Isen card from your play deck or discard pile to your hand or discard The Fortress of Isen card if in play by another player. Reshuffle your play deck if searched. may not be played by a lord player.
Keys to the White Towers	WhiteHand	KeystotheWhiteTowers	Stage Resource	Special Item											2	1			1					R2	Unique. Playable at Barrow-downs. During your organization phase, you may: take the Fortress of the Towers card from your play deck or discard pile to your hand or discard the Fortress of the Towers card if in play by another player. Reshuffle your play deck if searched. May not be played by a Dwarf-lord or Atani-lord player.
Legacy of Smiths	WhiteHand	LegacyofSmiths	Stage Resource	Permanent-event												4								C3	Playable if you have more than 6 stage points. Your non-ring items are each worth full marshalling points. Cannot be duplicated by a given player.
Man of Skill	WhiteHand	ManofSkill	Stage Resource	Permanent-event												2		Saruman						U3	Unique. Saruman specific. Your permanent-events that require a site where Information is playable are each worth 2 marshalling points.
