Name	Set	Imagefile	Type	Class	Race	Skills	HomeSite	Mind	Influence	GI	Prowess	Body	Strikes	Playable	MP	SP	Magic	Specific	Corruption	Region	SitePath	Draw	OpponentDraw	Rarity	Text
Lord of the Carrock	AgainstShadow	LordoftheCarrock	Hazard	Creature/Permanent-event	Men						16	9	1		2*									R2	Unique. Man. Manifestation of Beorn. One strike. Detainment against hero companies. As a creature, he may be played keyed to Anduin Vales, Woodland Realm, Western Mirkwood, Wold & Foothills, High Pass, or Redhorn Gate; or at sites in these regions. As a permanent-event, all influence attempts against Man factions are modified by -2. Discard when any play deck is exhausted.
Lord of the Haven	AgainstShadow	LordoftheHaven	Hazard	Creature/Short-event	Elves						13	9	1		3*									R2	Unique. Elf. Manifestation of Cirdan. One strike. Detainment against hero companies. May be played keyed to Lindon or any Coastal Sea region; or at sites in these regions. As a short-event, tap up to 2 characters at a site, or moving through a Coastal Sea region.
Master of the House	AgainstShadow	MasteroftheHouse	Hazard	Creature/Permanent-event	Elves						14	9	1		3*									R2	Unique. Elf. Manifestation of Elrond. One strike. Detainment against hero companies. As a creature may be played keyed to Rhudaur, Arthedain, High Pass, The Shire, or Cardolan; or at sites in these regions. As a permanent-event, each player at the end of each turn may bring one Elf hazard creature from his discard pile to his hand. discard when any play deck is exhausted.
Near to Hear a Whisper	AgainstShadow	NeartoHearaWhisper	Hazard	Permanent-event																				R2	Any agent may attack a company at his site at the start of the site phase if the company chooses not to enter the site. May be revealed on-guard if the company chooses not to enter the site. Discard when any play deck is exhausted. Cannot be duplicated.
One Foe to Breed a War	AgainstShadow	OneFoetoBreedaWar	Hazard	Permanent-event																				R2	Playable on a wounded non-Ringwraith, non-Wizard character. The next time character would heal, discard this card instead. Attacking player may always assign the first strike of any attack to this character. Cannot be duplicated.
Pallando the Soul-keeper	AgainstShadow	PallandotheSoulkeeper	Hazard	Creature/Permanent-event	Maia						13	9	2	{f}{F}	6*									R2	Unique. Maia. Manifestation of Pallando. Two strikes. Detainment and -3 prowess against hero companies. Discard this card if Pallando comes into play. May be played keyed to Free-domains and Free-holds and may also be played keyed to Lindon, Numeriador, Arthedain, or Cardolan; or at sites in these regions. As a permanent-event, the next non-Ringwraith minion discarded from play is instead eliminated. Discard when a minion is so eliminated. {green} DCE: As a creature, may be played keyed to Lindon, Numeriador, Clyan, or Chy; or at sites in these regions.
Pilfer Anything Unwatched	AgainstShadow	PilferAnythingUnwatched	Hazard	Short-event																				U1	Playable on an untapped agent. Tap the agent. Make a roll for a character of your choice with a home site the same as the agent's current site. Add 5 to the roll if the current site is the agent's home site. If the result is greater than the character's mind +5, the character is returned to his player's hand.
Power Built by Waiting	AgainstShadow	PowerBuiltbyWaiting	Hazard	Permanent-event																				C3	Tap during a company's movement/hazard phase to increase the hazard limit against the company by one. Card does not untap during your untap phase. You may use 2 against a company's hazard limit to untap this card.
Radagast the Tamer	AgainstShadow	RadagasttheTamer	Hazard	Creature/Permanent-event	Maia						13	9	2	{f}{F}	6*									R2	Unique. Maia. Manifestation of Radagast. Two strikes. Detainment and -3 prowess against hero companies. Discard this card if Radagast comes into play. May be keyed to Free-domains and Free-holds and may also be played keyed to Southern Mirkwood, Western Mirkwood, Woodland Realm, Heart of Mirkwood or Rhosgobel. As a permanent-event, all companies moving in Southern Mirkwood, Western Mirkwood, Woodland Realm and/or Heart of Mirkwood have their hazard limit increased by +1. Discard when any play deck is exhausted.
Returned Beyond All Hope	AgainstShadow	ReturnedBeyondAllHope	Hazard	Short-event											2									C2	Bring one hazard creature of the following type from your discard pile to your hand: Maia, Elf, Dwarf, or Dunedain. Alternatively, bring a Maia permanent-event from play to your hand. Alternatively, make a roll - if the result is greater than 8, bring an eliminated Elf or Maia creature to its owners discard pile and place this card in your opponent's MP pile for 2 MP.
Ride Against the Enemy	AgainstShadow	RideAgainsttheEnemy	Hazard	Short-event																				C3	Playable on a company moving through a Wilderness [{w}] if you have a character in your hand. Reveal the character. A single-strike hazard creature attack is made on the company with the attributes of the revealed character, except the prowess is increased by 7. Other cards have no effect on this attack. The attack is detainment if the revealed character and company are both minion or both hero. If defeated, place the character in your opponent's marshalling point pile - he receives the character's marshalling points as kill points. Otherwise discard the character.
Saruman the Wise	AgainstShadow	SarumantheWise	Hazard	Creature/Permanent-event	Maia						13	9	3	{f}{F}	6*									R2	Unique. Maia. Manifestation of Saruman. Three strikes. Detainment and -3 prowess against hero companies. Discard this card if Saruman comes into play. May be played keyed to Free-domains and Free-holds and may also be played keyed to Gap of Isen, Rohan, Enedhwaith, or Old-Pukel-land; or at sites in these regions. As a permanent- event, all rings give +1 corruption points. Discard when any play deck is exhausted.
Short Legs Are Slow	AgainstShadow	ShortLegsAreSlow	Hazard	Permanent-event																				U3	Affects companies with at least as many Hobbits as non-Hobbit characters. Number of regions affected companies can move is reduced by one. Affected companies cannot use starter movement if region movement is being used in game. Cannot be duplicated. Discard when any play deck is exhausted.
Slip Treacherously	AgainstShadow	SlipTreacherously	Hazard	Short-event																				C3	Tap all untapped items in play.
Steward's Guard	AgainstShadow	StewardsGuard	Hazard	Creature	Dunedain						8	-	5		1*									C2	Dunedain. Five strikes. Detainment against hero and covert companies. May be played keyed to Wold & Foothills, Rohan, Anorien, Lebennin, Brown Lands, Dagorlad. Ithilien or Harondor.
Stout Men of Gondor	AgainstShadow	StoutMenofGondor	Hazard	Creature	Men						7	-	6		1*									C3	Men. Six strikes. May be played keyed to Old Pukel-land, Old Pukel Gap, Andrast, Anfalas, Lamedon, Belfalas, Lebennin, Anorien, or Rohan; or at sites in these regions.
Summons from Long Sleep	AgainstShadow	SummonsfromLongSleep	Hazard	Permanent-event																				C2	Place a Dragon or Drake face up "off to the side" with this card. You may play this creature as though it were in your hand with +2 prowess. Summons from Long Sleep is discarded when the creature attacks.
Trolls from the Mountains	AgainstShadow	TrollsfromtheMountains	Hazard	Creature	Trolls						12	5	3	{w}{w}{w}	2									C2	Trolls. Three strikes. Playable keyed to triple Wilderness (three Wilderness regions in the site path are required).
Trouble on All Borders	AgainstShadow	TroubleonAllBorders	Hazard	Permanent-event																				C2	Playable on a unique faction in play. Any company moving through a region containing a site where the faction is playable, or through any adjacent region, faces an attack of 4 strikes at 8 prowess. The attack is detainment if the company and the faction are both minion or both hero. Cannot be duplicated on a faction. Discard when any play deck is exhausted.
Turning Hope to Despair	AgainstShadow	TurningHopetoDespair	Hazard	Short-event																				C3	Playable on a non-detainment attack from: Undead, Nazgul, or Maia; does not count against the hazard limit. If attack is not defeated, each character in company makes a roll and adds his mind. If the result is less than 11, the character splits off from the company and forms his own company. The character faces a separate movement/hazard phase this turn with a hazard limit of one.
Unhappy Blows	AgainstShadow	UnhappyBlows	Hazard	Short-event																				R2	Playable on a company containing both Dwarves and Elves, or both Orcs and Trolls. Make a roll and subtract five (seven for Orcs and Trolls). If available, your opponent must choose and return to his hand any number of Elves and Dwarves (or Orcs and Trolls) in the company whose mind equals or exceeds this result. Items played with these characters are also returned to opponent's hand. Cannot be duplicated on a given turn.
Will Shaken	AgainstShadow	WillShaken	Hazard	Permanent-event											-2									R2	This card may never be played. If you opponent looks at cards from your hand and sees Will Shaken, place this card in his marshalling point pile. He loses two miscellaneous marshalling points. Your opponent may skip his turn in order to place this card in your discard pile.
All the Bells Ringing	AgainstShadow	AlltheBellsRinging	Hero Resource	Short-event																				U3	Playable during opponent's site phase before strikes are assigned at a Free-hold or Border-hold if a minion company attacks. Attack is canceled and the minion company must face all automatic-attacks - which attack normally, not as detainment. Afterwards, the minion company may attack the hero company again.
Alliance of Free Peoples	AgainstShadow	AllianceofFreePeoples	Hero Resource	Permanent-event																				R2	If at least one hero Dwarf, Elf and Man faction is in play, all hero Dwarf, hero Elf and hero Man factions give +1 MP. Discard when any hero Dwarf, Elf or Man faction is discard from play. Cannot be duplicated.
Angmarim	AgainstShadow	Angmarim	Hero Resource	Faction	Man 										3									R1	Unique. Manifestation of minion Angmarim. Playable at Carn Dum if the influence check is greater than 11 (Muster has no effect). Modifications: Wizards (-5), Men (+1)
Biter and Beater!	AgainstShadow	BiterandBeater	Hero Resource	Short-event																				C2	Playable on a company facing an Orc attack or in combat with an overt company. Also playable during opponent's site phase. Every Sword of Gondolin, Orcrist, and Glamdring in target company give an additional +2 prowess bonus and lower the body of strikes their bearers face by 1.
Bow of the Galadhrim	AgainstShadow	BowoftheGaladhrim	Hero Resource	Major Item											2				1					U2	Unique. Bow. If bearer is an Elf Warrior in company vs. company combat, make a roll for each non-unique minion ally in the opposing company. If the result for an ally is greater than the ally's mind plus five, discard the ally.
Drughu	AgainstShadow	Drughu	Hero Resource	Short-event																				U3	Playable on a hero company during your organization phase if you discard a ranger from your hand. All characters in company receive +2 prowess against attacks keyed to Wilderness regions and during combat at Ruins and Lairs. Cannot be duplicated on a given company.
Farmer Maggot	AgainstShadow	FarmerMaggot	Hero Resource	Permanent-event																				R1	Unique. If your company faces an attack while at a site in The Shire, Arthedain, or Cardolan, you may immediately replace its site card with another site in The Shire, Arthedain, or Cardolan. If your company takes this option, the attack is canceled and this card is discarded.
Glamour of Surpassing Excellance	AgainstShadow	GlamourofSurpassingExcellance	Hero Resource	Short-event																				C3	Playable on a company at a Free-hold or Border-hold. Make a roll for each hazard permanent-event on characters in the company. Discard each hazard whose roll is greater than the number normally needed to remove it as printed on the card (ignoring all modifiers and conditions). If no number is given, the permanent-event is discarded if the result is greater than 8.
Haradrim	AgainstShadow	Haradrim	Hero Resource	Faction	Man 										4									R2	Unique. Manifestation of minion Haradrim. Playable at Southron Oasis if the influence check is greater than 9. Modifications: Wizards (-5), Dunedain (-2), Elves (-2), Dwarves (-2).
Jewel of Beleriand	AgainstShadow	JewelofBeleriand	Hero Resource	Minor Item															1					C2	Hoard Item. Jewel. Tap this item and make a roll - if the result is greater than 6, the bearer untaps if tapped. Cannot be duplicated on a given character.
Mount Slain	AgainstShadow	MountSlain	Hero Resource	Permanent-event											2									R2	Playable during any player's turn if a strike against one of your companies from a Ringwraith or Nazgul creature fails. If still in active play following its body check, discard the Ringwraith.
No Strangers at this Time	AgainstShadow	NoStrangersatthisTime	Hero Resource	Permanent-event											1									C3	Playable during the site phase on a Free-hold or Border-hold if you've played a faction there. This site is never discarded and never untaps. All detainment attacks at this site against minion companies attack normally. Against minion companies, this site has an additional automatic-attack; an exact copy, including all modifications, of the first auto-attack listed on its card.
Nurniags	AgainstShadow	Nurniags	Hero Resource	Faction	Man 										5									R1	Unique. Manifestation of minion Nurniags. Playable at Nurniag Camp if the influence check is greater than 13 (Muster has no effect). Modifications: Wizards (-5), Men (+1).
Orc-mail	AgainstShadow	Orcmail	Hero Resource	Permanent-event																				R2	Playable on a company containing only Hobbits and/or Dwarves. Company may not be attacked by an overt company. If an overt company at the same site as the target company moves, you may replace your opponents site with your copy of the minion company's new site. At the start of each of your opponent's site phases, make a roll. If the result plus the number of minion characters at the same site is greater than 12, discard this card.
Petty-dwarves	AgainstShadow	Pettydwarves	Hero Resource	Faction	Dwarf 										2									R2	Unique. Manifestation of minion Petty-dwarves. Playable at The Worthy Hills if influence check is greater than 10. Modifications: Elves (-2), Dwarves (+2).
Power Against the Shadow	AgainstShadow	PowerAgainsttheShadow	Hero Resource	Short-event																				C3	Playable during your opponent's site phase on a company being attack by a minion company. All heroes receive +3 prowess until the end of the turn. Cannot be duplicated on a given company.
Safe from the Shadow	AgainstShadow	SafefromtheShadow	Hero Resource	Permanent-event																				C2	Hero characters may store resources (items and events) during the end-of-turn phase. Cannot be duplicated. Discard when any play deck is exhausted.
Spies Feared	AgainstShadow	SpiesFeared	Hero Resource	Permanent-event																				R2	Scout or Ranger only. Playable on a Shadow-hold if one of your scouts is there or on a Ruins and Lairs if one of your rangers is there. An additional automatic-attack is created at the site against minion companies: Orcs - 5 strikes at 8 (detainment). Additionally all auto-attacks at the site are duplicated (including the new one) against all companies. Discard when site is discarded or returned to your location deck.
The Ithil-stone	AgainstShadow	TheIthilstone	Hero Resource	Special Item											5				4					R1	Unique. Palantir. Playable at Barad-dur. When character taps to play the Ithil-stone, make a roll. If the result plus the number of scouts in the company is greater than 9, the Ithil-stone is successfully played. Otherwise, the bearer is eliminated and the Ithil-stone is placed in your out-of-play pile. Bear makes a corruption check at the end of each of his untap phases. Bane of the Ithil-stone is discarded and cannot be played. If the Lidless Eye is in play, its player's hand size decreases by 2.
The Sun Unveiled	AgainstShadow	TheSunUnveiled	Hero Resource	Short-event																				C3	Playable on a character at a Free-hold if Gates of Morning is in play. Remove all hazard permanent-events on the character and, if tapped, untap him.
Tower Raided	AgainstShadow	TowerRaided	Hero Resource	Permanent-event											6									R2	Playable during the site phase on an untapped Shadow-hold if your company: bears an item worth at least 2 MP, contains an untapped scout, and discards for no effect a Stolen Knowledge card it controls. Tap the site and discard the item. Company faces an attack: Orcs - 4 strikes at 8. By the end of the site phase, tap a scout n the company or discard this card. If this card is not discarded, all versions of this site are now considered Ruins and Lairs, and no factions are playable there. Discard when site is discarded or returned to your location deck.
Wain-easterlings	AgainstShadow	Waineasterlings	Hero Resource	Faction	Man 										3									U2	Unique. Manifestation of minion Wain-easterlings. Playable at Easterling Camp if influence check is greater than 8. Modifications: Wizard (-5), Dunedain (-2).
Woses of the Eryn Vorn	AgainstShadow	WosesoftheErynVorn	Hero Resource	Faction		Wose 									2									U2	Unique. Manifestation of minion Woses of Eryn Vorn. Playable at The Worthy Hills if influence check is greater than 10.
Cirith Gorgor	AgainstShadow	CirithGorgor	Hero Site	{D}										Items (minor, major, greater)						Udun	{w}{s}{f}{w}{s}{d}{d}	3	5	R2	Nearest Haven: Lorien. Automatic-attacks: Orcs - 5 strikes with 8 prowess, Trolls - 2 strikes with 10 prowess.
Geann a-Lisch	AgainstShadow	GeannaLisch	Hero Site	{R}										Information, Items (minor, major)						Old Pukel-land	{w}{w}{w}	2	2	U2	Nearest Haven: Edhellond. Automatic-attacks: Men - 4 strikes with 8 prowess. Special: Any man hazard creature can be played here.
Gobel Mirlond	AgainstShadow	GobelMirlond	Hero Site	{B}										Items (minor, major)						Harondor	{w}{f}{c}{w}	2	2	U2	Nearest Haven: Edhellond. Automatic-attacks: Men - 4 strikes with 9 prowess (detainment). Special: Port
Nurniag Camp	AgainstShadow	NurniagCamp	Hero Site	{S}										Information, Items (minor, major)						Nurn	{w}{f}{c}{w}{s}	3	5	U2	Nearest Haven: Edhellond. Automatic-attacks: Men - 4 strikes with 7 prowess.
Raider-hold	AgainstShadow	Raiderhold	Hero Site	{B}										Items (minor, major)						Horse Plains	{w}{s}{s}{s}	3	4	U2	Nearest Haven: Lorien. Automatic-attacks: Men - 4 strikes with 9 prowess (detainment).
The Worthy Hills	AgainstShadow	TheWorthyHills	Hero Site	{R}										Information						Cardolan	{w}{w}	1	2	U2	Nearest Haven: Rivendell. Automatic-attacks: Men - each character faces 1 strike at 9 (detainment). Special: You may tap a sage and a scout during the site phase to untap this site.
Burat	AgainstShadow	Burat	Minion Character		Troll	Warrior/Ranger	Any Ruins and Lairs	4	0		5	8			1									U2	Unique. Manifestation of "Bert". May not be included with a starting company. May be played on the same turn Tuma and/or Wuluag is played. Discard on a body check result of 8. +1 prowess against Dwarves. Tap Burat to untap Tuma or Wuluag if at same site. If Tuma and/or Wuluag is in his company, Burat's mind is reduced by one.
Mauhur	AgainstShadow	Mauhur	Minion Character		Orc	Warrior	Dol Guldur	5	0		6	9			2									R2	Unique. Leader. Warrior Orc. Discard on a body check result of 9. +2 DI against Orcs and Orc factions.
Mionid	AgainstShadow	Mionid	Minion Character		Man	Warrior/Ranger	Variag Camp	4	0		5	8			1									U2	Unique. Warrior/Ranger Man. +2 DI against any faction playable at Variag Camp.
Perchen	AgainstShadow	Perchen	Minion Character		Man	Scout/Diplomat	Dunnish Clan-hold	5	2		3	9			2									U2	Unique. Scout/Diplomat Man. +3 DI against any faction playable at Dunnish Clan-hold.
Tuma	AgainstShadow	Tuma	Minion Character		Troll	Warrior	Any Ruins and Lairs	4	0		6	8			1									U2	Unique. Manifestation of "Tom". Warrior Troll. May not be included with a starting company. May be played on the same turn Burat and/or Wuluag is played. Discard on a body check result of 8. +1 prowess against Dwarves. Tap Tuma to untap Burat or Wuluag if at same site. If Burat and/or Wuluag is in his company, Tuma's mind is reduced by one.
Wuluag	AgainstShadow	Wuluag	Minion Character		Troll	Warrior/Scout	Any Ruins and Lairs	4	0		5	8			1									U2	Unique. Manifestation of "William". Warrior/Scout Troll. May not be included with a starting company. May be played on the same turn Tuma and/or Burat is played. Discard on a body check result of 8. +1 prowess against Dwarves. Tap Wuluag to untap Tuma or Burat if at same site. If Tuma and/or Burat is in his company, Wuluag's mind is reduced by one.
Above the Abyss	AgainstShadow	AbovetheAbyss	Minion Resource	Short-event																				C3	Playable on a tapped non-Ringwraith character if your opponent is a Wizard and your Ringwraith is in play. Untap target character.
Ancient Black Axe	AgainstShadow	AncientBlackAxe	Minion Resource	Special Item											4				4					R2	Unique. Weapon. Two-handed. Playable at any Under-deeps Shadow-hold [{S}]. +2 DI. Warrior only: +3 prowess (to a maximum of 11); -1 to strike's body; tap item to make a character at site automatically pass a corruption check (bearer makes a corruption check).
Angmarim	AgainstShadow	Angmarim2	Minion Resource	Faction	Man 										1									R2	Unique. Playable at Carn Dum if influence check is greater than 10. Modifications: Easterlings (+2), Hillmen (+2). Influenced as 0 once in play.
Asdriags	AgainstShadow	Asdriags	Minion Resource	Faction	Man 										2									U2	Unique. Playable at Nurniag Camp if influence check is greater than 10. Modifications: Nurniags (+2), Variags of Khand (+2), Balchoth (-2).
Bairanax Roused	AgainstShadow	BairanaxRoused	Minion Resource	Faction	Dragon 										3									R1	Unique. Manifestation of Bairanax. Playable at Ovir Hollow if influence check is greater than 11. Modifications: influencer discards a major (+3) or greater item (+6). Attacks by Bairanax against any of your companies are canceled. Any company moving in Withered Heath, Gundabad, Anduin Vales, and/or Grey Mountains Narrows faces one attack: Dragon - 2 strikes at 14/7 (attacker chooses defending characters).
Black Horse	AgainstShadow	BlackHorse	Minion Resource	Ally		Warrior		2			4	6												C3	Horse. Playable on a Ringwraith at a Darkhaven (does not tap the site). Each Horse allows you to play one Ringwraith who requires no direct influence to control. If each Ringwraith in company has a Horse, company is in Black Rider mode and may move as such. You may include up to 9 copies of this card in your play deck and sideboard. Return controller to your hand if Horse leaves play. {cyan} UEP: A Ringwraith with a mode ally (Black Horse or Creature of an Older World) will not return to hand on a body check (bc) of a 7 or 8. When a minion company consists entirely of Ringwraiths and Black Horses its maximum company size is increased to 9.
Black Numenoreans	AgainstShadow	BlackNumenoreans	Minion Resource	Faction	Dunadan 										2									U2	Unique. Playable at Gobel Mirlond if influence check is greater gran 8. Modifications: Umbarean Corsairs (+2).
Corsairs of Rhun	AgainstShadow	CorsairsofRhun	Minion Resource	Faction	Man 										2									U2	Unique. Playable at Raider-hold if influence check is greater than 9. Modifications: Easterlings (+2), Men of Dorwinion (-2).
Creature of an Older World	AgainstShadow	CreatureofanOlderWorld	Minion Resource	Ally		Warrior		3			5	8			1									R2	Unique. Winged. Play on your Ringwraith at a tapped or untapped Barad-dur (does not tap). Ringwraith gets +2 prowess and, if only character in company, is in Fell Rider mode and may move as such. Tap ally to: cancel a strike against your Ringwraith or to assign your Ringwraith's strikes against a hero company as you choose. Return Ringwraith to your hand if ally leaves play. {cyan} UEP: A Ringwraith with a mode ally (Black Horse or Creature of an Older World) will not return to hand on a body check (bc) of a 7 or 8.
Daelomin Roused	AgainstShadow	DaelominRoused	Minion Resource	Faction	Dragon 										4									R1	Unique. Manifestation of Daelomin. Playable at Dancing Spire if influence check is greater than 12. Modifications: influencer discards a major (+3) or greater item (+6). Attacks by Daelomin against any of your companies are canceled. Any company moving in Withered Heath, Grey Mountains Narrows, Iron Hills, and/or Northern Rhovanion faces one attack: Dragon - 3 strikes at 13/8 (attacker chooses defending characters).
Dark Tryst	AgainstShadow	DarkTryst	Minion Resource	Short-event																				C3	Draw three cards and remove this card from the game.
Driven as by a Madness	AgainstShadow	DrivenasbyaMadness	Minion Resource	Short-event													Spirit-magic							U3	Magic. Spirit-magic. Playable on a spirit-magic using character facing an attack. All characters in his company receive +2 prowess and -1 body against the attack. Character makes a corruption check modified by -3. Cannot be duplicated against a given check.
Dwarven Ring of Thelor's Tribe *	AgainstShadow	DwarvenRingofThelorsTribe2	Minion Resource	Special Item											4				3(5)					U2	Unique. Dwarven Ring. Tap a Dwarf bearer to search your play deck and/or discard pile for one or two minor items to put in your hand. Bearer then makes a corruption check modified by +2.
Dwarven Ring of Thrar's Tribe *	AgainstShadow	DwarvenRingofThrarsTribe2	Minion Resource	Special Item											4				3(5)					U2	Unique. Dwarven Ring. Tap a Dwarf bearer to search your play deck and/or discard pile for one or two minor items to put in your hand. Bearer then makes a corruption check modified by +2.
Earcaraxe Roused	AgainstShadow	EarcaraxeRoused	Minion Resource	Faction	Dragon 										4									R1	Unique. Manifestation of Earcaraxe. Playable at Isle of Ulond if influence check is greater than 11. Modifications: influencer discards a major (+2) or greater item (+5). Attacks by Earcaraxe against any of your companies are canceled. Any company moving in Andrast Coast, Bay of Belfalas, Eriadoran Coast, and/or Andrast faces one attack: Dragon - 2 strikes at 17/7 (attacker chooses defending characters).
Eye Never Sleeping	AgainstShadow	EyeNeverSleeping	Minion Resource	Short-event																				U3	Playable if you are Sauron. Cancel one hazard creature attack.
Faithless Steward	AgainstShadow	FaithlessSteward	Minion Resource	Permanent-event																				R2	Playable on an agent character at a Darkhaven who has a Border-hold or Free-hold as a home site. If target character is unwounded and at one of his home sites, no factions can be played at any version of that site and you receive this card's marshalling points. Cannot be duplicated on a given character.
Far Below the Deepest Delvings	AgainstShadow	FarBelowtheDeepestDelvings	Minion Resource	Short-event																				U3	Playable during the movement/hazard phase on a company moving to an Under-deeps site. At the end of its movement/hazard phase, target company may attempt to move to an additional site. Another site card is played and another movement/hazard phase immediately follows.
Goblin Earth-plumb	AgainstShadow	GoblinEarthplumb	Minion Resource	Minor Item															1					C2	Playable only on an Orc or Troll. +1 to all rolls required for bearer's company to move to adjacent Under-deeps site.
Great Bats	AgainstShadow	GreatBats	Minion Resource	Ally				1							1									C3	Flying. Playable at a tapped or untapped Shadow-hold. May not be attacked. Discard if controlling character is wounded. Tap to remove the effect of an attack against its controlling character's company that states "attacker chooses defending characters". Cannot be duplicated on a given company.
