Name	Set	Imagefile	Type	Class	Race	Skills	HomeSite	Mind	Influence	GI	Prowess	Body	Strikes	Playable	MP	SP	Magic	Specific	Corruption	Region	SitePath	Draw	OpponentDraw	Rarity	Text
Faces of the Dead	DarkMinions	FacesoftheDead	Hazard	Short-event																				C2	Playable on a non-Wizard character moving with at least two Wildernesses in his site path if you discard any Undead hazard creature from your hand (show opponent). Target character makes a roll (draws a #) and adds his mind. If the result is less than 13, that character splits off from his company, forms a new company consisting of just himself (and faces no movement/hazard phase this turn), and immediately returns to his original company's site of origin.
Flies and Spiders	DarkMinions	FliesandSpiders	Hazard	Permanent-event																				C1	Playable on a character facing a Spider attack. If the strike is successful, target character is not harmed and is taken prisoner at a Ruins & Lairs. During his untap phase, make a body check for that character modified by +1. If not eliminated, his player then makes a roll (draws a #) adding his body. If the result is greater than 15, the character is automatically rescued into his own company located at the rescue site. Rescue-attack: Spiders - 3 strikes with 9 prowess.
Foes Shall Fall	DarkMinions	FoesShallFall	Hazard	Permanent-event															1(2)					U2	Corruption. Playable on a non-Wizard character facing a strike from a Dragon or Drake hazard creature attack. If the strike is defeated, discard this card. If the strike is not defeated, place creature's card with Foes Shall Fall-creature is considered off to the side. Target character's company faces an attack from creature at the start of each movement/hazard phase if creature is playable. Discard associated creature's card if Foes Shall Fall is discarded. Discard Foes Shall Fall if attached Dragon or Drake is defeated. If target character is a Dwarf, he receives 2 corruption points.
Gnaw with Words	DarkMinions	GnawwithWords	Hazard	Short-event																				C2	Tap a sage if another sage is in his company or at his new site or at his current site. Tap a diplomat if another diplomat is in his company or at his new site or at his current site.
Good Sense Revolts	DarkMinions	GoodSenseRevolts	Hazard	Short-event																				C2	Playable on an untapped agent. Tap the agent who may then make an influence attempt against an ally, faction, or character. +4 to influence attempt. +8 if ally, faction, or character is playable at agent's home site. Alternatively, modify an influence attempt by an agent by +4. This card cannot serve both functions.
Great Need or Purpose	DarkMinions	GreatNeedorPurpose	Hazard	Long-event																				U2	Each agent may take an extra agent action each time he normally takes an agent action. Cannot be duplicated.
Great Secrets Buried There	DarkMinions	GreatSecretsBuriedThere	Hazard	Permanent-event																				U2	Playable if opponent has at least ten cards in his play deck. Opponent reveals the top ten cards of his play deck to himself. If one is available, opponent must choose a non-special, non-hoard item from the revealed cards to place off to the side under this card (item does not give marshalling points and is considered out of play). If none are available, opponent must show you the cards he revealed to himself. Opponent shuffles all remaining revealed cards into his play deck. Opponent may play this item as though it were in his hand at any Under-deep site. Alternatively, you may play this card as a resource on yourself if you have at least ten cards in your play deck. In this case, you and your opponent reverse roles.
Helms of Iron	DarkMinions	HelmsofIron	Hazard	Permanent-event																				U2	Playable only if you have a Nazgul permanent-event in play. Discard the Nazgul when this card is brought into play. All Orc, Troll, and Man attacks with body have their body modified by +1; and all Orc, Troll, and Man attacks with no body have 4 body.
In Darkness Bind Them	DarkMinions	InDarknessBindThem	Hazard	Permanent-event																				C2	Any creature that can be keyed to a Shadow-land may be keyed to Ithilien, Harondor, Horse Plains, Khand, Imlad Morgul, Nurn, Gorgoroth, Udun, or Dagorlad. Any creature that can be keyed to a Dark-domain may be keyed to Khand, Imlad Morgul, Nurn, Gorgoroth, Udun, or Dagorlad. Discard this card when a creature keyed to one of these regions (not to the region symbol) is defeated.
In Great Wrath	DarkMinions	InGreatWrath	Hazard	Short-event																				U2	Playable on a Nazgul in your discard pile that could immediatly attack. The Nazgul attacks immediately (not counting against the hazard limit) with +2 prowess and -1 body.
In the Heart of his Realm	DarkMinions	IntheHeartofhisRealm	Hazard	Permanent-event																				R3	Each company moving in a Dark-domain draws one less card at the start of its movement/hazard phase (to no minimum). Additionally, any sage at a site in a Dark-domain or Gorgoroth, or moving with a Dark-domain or Gorgoroth in his site path, loses his sage skill. No character at a site in a Dark-domain or Gorgoroth, or moving with a Dark-domain or Gorgoroth in his site path, can use spells, light enchantments, or rituals. Discard when any play deck is exhausted.
Inner Cunning	DarkMinions	InnerCunning	Hazard	Permanent-event/Short-event																				C2	As a permanent-event, playable on a face-down agent who was brought into play this turn. When the agent is revealed, and if his home site is a Shadow-hold or a Dark-hold, the site where he came into play (which is not represented by a card) may legally be any Shadow-hold or a Dark-hold. Discard when the agent is revealed. Alternatively, as a short-event, take any agent who has a home site that is a Shadow-hold or Dark-hold from your play deck into your hand (reveal it to opponent and reshuffle your play deck).
Like the Crash of Battering-rams	DarkMinions	LiketheCrashofBatteringrams	Hazard	Short-event																				R3	Playable on a strike. If the strike is successful, the wounded character's body is reduced by one until the end of the turn for every complete increment of 5 the strike was successful by (subtract the character's prowess plus dice roll from the strike's prowess, divide by five, and drop any fractions).
Little Snuffler	DarkMinions	LittleSnuffler	Hazard	Creature	Orcs						5		1	{w}{s}{d}{R}{S}{D}	1									U2	Orcs. One strike. Attacker chooses defending characters. Each ranger in attacked company lowers Little Snuffler's body by 2. If attack is not defeated, any resource that requires a scout in target company cannot be played for the rest of the turn.
Lobelia Sackville-Baggins	DarkMinions	LobeliaSackvilleBaggins	Hazard		Hobbit	Scout	Bag End, Bree	3	1		0	9			1									U2	Unique. Manifestation of Mistress Lobelia. Agent. +3 direct influence against Hobbits and Hobbit Factions. May not move to any site other than Bree, Old Forest, The White Towers, or a site in The Shire.
Long Dark Reach	DarkMinions	LongDarkReach	Hazard	Short-event																				R3	Playable on a moving company with at least one Wilderness in its site path if you have at least 10 cards in your play deck. Reveal the top seven cards of your play deck. One revealed Nazgul, Dragon, or a non-unique creature of your choice immediatly attacks the company (regardless of its playability requirements). The creature must be playable in some region besides Coastal Sea. If the creature could not normally be played on the company, modify its prowess by -4. Shuffle all unused cards and return them to the top of your play deck.
Mordor in Arms	DarkMinions	MordorinArms	Hazard	Permanent-event											-2									U2	Any company moving in Nurn faces three attacks: Orcs - 5 strikes with 8 prowess, Orcs - 4 strikes with 10 prowess, Trolls - 3 strikes with 12 prowess. If all three attacks are defeated by your opponent, he receives this card in his MP pile and 2 kill MPs. Any attempt by a character to influence a faction playable at a site in Horse Plains, Khand, Harondor, Nurn, Gorgoroth, Imlad Morgul, or Udun is modified by -6 and cannot be done with Muster.
My Precious	DarkMinions	MyPrecious	Hazard		Hobbit	Scout	Mt. Doom, Shelob's Lair, Goblin-gate, Moria	4	0		2	9			-1									R2	Unique. Manifestation of Gollum. Agent. May take an extra agent action (not counting against the hazard limit) each time he normally takes an agent action. If he attacks successfully against a company with a ring, he and a ring (attacker's choice) are discarded. If My Precious attacks and fails but is not defeated, the defender may tap a character in the target company to play Gollum (My Precious is discarded). Any player whose character eliminates My Precious receives -1 kill MPs.
Nameless Thing	DarkMinions	NamelessThing	Hazard	Creature	Drake						10	4	2		3									U2	Drake. 3 attacks of 2 strikes each. A character can tap to cancel one of these attacks. Playable at any site in the Under-deeps. If Doors of Night is in play, also playable at an adjacent site of any Under-deeps site or keyed to a Coastal Sea.
Neither so Ancient Nor so Potent	DarkMinions	NeithersoAncientNorsoPotent	Hazard	Permanent-event											2									U2	Playable on a stored item. Return item to opponent's hand (discarding all attached cards). Place this card in opponent's marshalling point pile.
Never Seen Him	DarkMinions	NeverSeenHim	Hazard	Permanent-event																				C2	Playable on an agent. Target agent may take an extra agent action (which does not count against the hazard limit) each time he normally takes an agent action. Cannot be duplicated on a given agent.
No Way Forward	DarkMinions	NoWayForward	Hazard	Permanent-event																				C2	Environment. The number of region cards that may be played by a moving company using region movement is reduced by one (by two if Doors of Night is in play) to a minimum of two. This card is effective during each player's organization phase. Discard when any play deck is exhausted. Cannot be duplicated.
Nobody's Friend	DarkMinions	NobodysFriend	Hazard	Permanent-event/Short-event																				C2	As a permanent-event, playable on a face-down agent who was brought into play this turn. When the agent is revealed, and if his home site is a Border-hold or a Free-hold, the site where he came into play (which is not represented by a card) may legally be any Border-hold or a Free-hold. Discard when the agent is revealed. Alternatively, as a short-event, take any agent who has a home site that is a Free-hold or Border-hold from your play deck into your hand (reveal it to opponent and reshuffle your play deck).
Out of the Black Sky	DarkMinions	OutoftheBlackSky	Hazard	Permanent-event											5									R3	Playable if Doors of Night is in play on a Nazgul permanent-event that could immediately attack if it were in your hand. The Nazgul immediately attacks as a creature from its permanent-event state (not counting against the hazard limit) and chooses defending characters. If the Nazgul is defeated, place this card in opponent's marshalling point pile and remove the Nazgul from play. Otherwise, discard this card. This can be used on an opponent's Nazgul permanent-event as well as on your own.
Pale Dream-maker	DarkMinions	PaleDreammaker	Hazard	Permanent-event															2					R3	Corruption. Dark Enchantment. Playable on a non-Wizard character wounded by an Undead attack this turn; does not count against the hazard limit. Target character receives 2 corruption points and makes a corruption check each time his player discards a card from his hand during his turn. His direct influence is zero while bearing this card. Cannot be duplicated on a given character. During the organization phase, a sage in target character's company (other than character) may tap to attempt to remove this card. Make a roll (or draw a #): if the result is greater than 6, discard this card.
Pierced by Many Wounds	DarkMinions	PiercedbyManyWounds	Hazard	Short-event																				C2	Playable on an attack with more strikes than defending characters before strikes are assigned; does not count against the hazard limit. The first excess strike assigned to each character gives a -4 modification to his prowess instead of -1. Cannot be duplicated on a given attack.
Rank upon Rank	DarkMinions	RankuponRank	Hazard	Permanent-event																				C2	All non-agent Man attacks receive +1 prowess and +1 strikes. If Doors of Night is in play, all Giant attacks also receive these bonuses. Discard this card when such an affected attack (automatic, hazard creature, or otherwise) is defeated. Cannot be duplicated.
Reaching Shadow	DarkMinions	ReachingShadow	Hazard	Permanent-event																				C2	Any creature that can be keyed to a Shadow-land may be keyed to Anduin Vales, Northern Rhovanion, Southern Rhovanion, Grey Mountain Narrows, Woodland Realm, Western Mirkwood, Heart of Mirkwood, Southern Mirkwood, Brown Lands, or Dagorlad. Any creature that can be keyed to a Dark-domain may be keyed to Heart of Mirkwood, Southern Mirkwood, Brown Lands, or Dagorlad. Discard this card when a creature keyed to one of these regions (not to the region symbol) is defeated.
Redoubled Force	DarkMinions	RedoubledForce	Hazard	Permanent-event																				C2	All Orc and Troll automatic-attacks receive +3 strikes and +2 prowess. Discard this card when such an automatic-attack is defeated. Cannot be duplicated.
Reluctant Final Parting	DarkMinions	ReluctantFinalParting	Hazard	Permanent-event																				U2	Discard any ally if its currnet site is an Under-deeps site or if its current site's nearest Haven is not the same as the nearest Haven for the site at which the ally can be played. Determine nearest Haven using site cards of the same alignment (minion/hero) as the ally. Discard this card when any play deck is exhausted. Cannot be duplicated.
Revealed to all Watchers	DarkMinions	RevealedtoallWatchers	Hazard	Short-event																				R2	Unique. Reveal your hand to opponent. Place all non-hazard cards from your hand off to the the side. Draw cards from your play deck until your hand size is reached. Place the non-hazard cards from off to the side face down on top of your play deck in any order you choose.
Scimitars of Steel	DarkMinions	ScimitarsofSteel	Hazard	Permanent-event																				U2	Playable only if you have a Nazgul permanent-event in play. Discard the Nazgul when this card is brought into play. All Orc, Troll, and Men attacks receive +1 prowess.
Seek without Success	DarkMinions	SeekwithoutSuccess	Hazard	Short-event																				C2	Discard a ranger agent at target company's new site. Company must immediately return to its site of origin.
Seized by Terror	DarkMinions	SeizedbyTerror	Hazard	Short-event																				C2	Playable on a non-avatar, non-minion character moving in a Shadow-land or Dark-domain. Target character makes a roll (draws a #) and adds his mind. If the result is less than 12, that character splits off into a different company, and immediately returns to his original company's site of origin.
Shadow out of the Dark	DarkMinions	ShadowoutoftheDark	Hazard	Permanent-event																				R2	Playable on a face-up Agent who can use shadow-magic. If agent is revealed and not in a Free-hold or Haven, he can tap to allow any Undead hazard creatures to be played at his site this turn. Any Undead hazard creatures so played do not count against the hazard limit.
Spells of the Barrow-wights	DarkMinions	SpellsoftheBarrowwights	Hazard	Permanent-event																				C1	Playable on a character facing an Undead strike. If the strike is successful, target character is not harmed and is taken prisoner at a Ruins & Lairs or Shadow-hold. Character must discard any rings along with his other items. At the start of each of his untap phases, make a body check for that character. Rescue-attack: Undead - 3 strikes with 8 prowess.
Spider of the Morlat	DarkMinions	SpideroftheMorlat	Hazard	Creature/Permanent-event	Spiders						16	9	2		4									R2	Unique. Spider. Spawn. May be played as a hazard creature (with two strikes) or as a permanent-event. As a creature, she may be played at Dol Guldur and The Sulfur-deeps. If Doors of Night is in play, she may also be keyed to Southern Mirkwood, Heart of Mirkwood, or Woodland Realm; or at any adjacent site of The Sulfur-deeps. If played as a permanent-event, all Spider attacks receive +1 strike. Additionally, any company moving in Southern Mirkwood, Heart of Mirkwood, Woodland Realm, Dagorlad, or Brown Lands faces a Spider attack of 2 strikes with 10 prowess. You can return Spider of the Morlat as a permanent-event to your hand-which counts as one against the hazard limit.
Stirring Bones	DarkMinions	StirringBones	Hazard	Creature	Undead						9	-	2	{w}{w}{s}{d}{R}{S}	1									C2	Undead. Two strikes.
Sudden Fury	DarkMinions	SuddenFury	Hazard	Short-event																				C2	Playable on a site. Until the end of the turn, any attack by a scout agent at this site has its number of strikes increased by one and attacker chooses defending characters.
The Black Enemy's Wrath	DarkMinions	TheBlackEnemysWrath	Hazard	Long-event																				R3	Each Under-deep site, Dark-hold, and Shadow-hold has an additional automatic-attack (cannot be canceled): Lava Flows - 1 strike against each character with 6 prowess (weapons do not modify prowess against these strikes). The penalty for an untapped character not tapping against one of these strikes is -5. Cannot be duplicated.
The Moon Is Dead	DarkMinions	TheMoonIsDead	Hazard	Permanent-event																				C2	All Undead attacks receive +1 strike and +1 prowess. All Undead automatic-attacks are duplicated (i.e., each Undead automatic-attack must be faced twice, including all modifications). Discard this card when an Undead attack is defeated. Cannot be duplicated.
The Reach of Ulmo	DarkMinions	TheReachofUlmo	Hazard	Permanent-event																				U2	The roll required to move between adjacent Under-deep sites is increased by 2. In addition, cancels the effects of Great Ship and Ford. May be played when an Under-deep site is revealed as a new site card (before the roll is made). Discard when any play deck is exhausted or when an Under-deep site is reached from another Under-deep site or at the end of the turn after Great Ship or Ford was played. Cannot be duplicated.
The Way is Shut	DarkMinions	TheWayisShut	Hazard	Long-event																				U2	A company moving to or from an Under-deep site must return to its site of origin. Additionally, cancels the effects of Secret Passage and Secret Entrance. Cannot be duplicated.
To Get You Away	DarkMinions	ToGetYouAway	Hazard	Permanent-event																				R3	Tap an agent at target company's new site. Agent may attack (not counting against hazard limit) during the movement/hazard phase. Attacker chooses defending characters. A successful strike doesn't wound the defending character, instead the character is taken prisoner at one of the agent's home sites of the attacker's choice (regardless of site's location) and the agent returns to the same site. Rescue-attack: Same race as agent - 3 strikes with 8 prowess.
Tribal Banner	DarkMinions	TribalBanner	Hazard	Short-event																				C2	Playable on an Orc or Troll attack before strikes are assigned; does not count against the hazard limit. The prowess and body of target attack are each reduced by one. All body checks resulting from successful strikes of this attack are modified by +1. Cannot be duplicated on a given attack.
Tribal Totem	DarkMinions	TribalTotem	Hazard	Short-event																				R3	Playable on an Orc or Troll attack before strikes are assigned; does not count against the hazard limit. The prowess and body of target attack and of all Orc and Troll attacks against this company for the rest of the turn are each reduced by three. Any body check resulting from a successful strike of such a modified attack is modified by +2. Cannot be duplicated against a given company.
Troll-purse	DarkMinions	Trollpurse	Hazard	Permanent-event																				U2	Playable on a site with an Orc or Troll automatic-attack. When any item is played at this site, the company must face all automatic-attacks of the site again with the attack's prowess modified by +3. Any successful strike does not harm the character, but rather the character is taken prisoner at the site. The rescue-attack equals all automatic-attacks of the site at the time of rescue.
Twisted Tales	DarkMinions	TwistedTales	Hazard	Short-event																				U2	Playable on an untapped diplomat agent. Tap the agent who may then make an influence attempt against a faction playable at the agent's site. +6 to influence attempt. Attempt is automatically successful if target faction is playable at the agent's home site.
Two or Three Tribes Present	DarkMinions	TwoorThreeTribesPresent	Hazard	Short-event																				C2	Playable on a company moving with at least two Wildernesses, one Shadow-land, or one Dark-domainin their site path. When played, announce a creature type except Nazgul, Undead, or Dragons (like Orcs, Men, Slayers, Drakes, etc.). For this turn, any hazard creatures of this type played against target company do not count against the hazard limit.
Umagaur the Pale	DarkMinions	UmagaurthePale	Hazard	Creature	Trolls						14	8	1	{S}	2									R2	Unique. Troll. 1 strike. Also playable at Moria and The Under-gates. If Doors of Night is in play, playable at any Under-deep site. Any non-unique Orc or Troll hazard creature can be played (not counting against the hazard limit) on a company that has faced Umagaur that turn.
Waylaid, Wounded, and Orc-dragged	DarkMinions	WaylaidWoundedandOrcdragged	Hazard	Permanent-event																				U2	Playable on a Hobbit facing a strike from an Orc attack. Target Hobbit receives +2 prowess against the strike. If the strike is successful, he is not harmed and is taken prisoner at a Ruins & Lairs, Shadow-hold, or Dark-hold. If the Hobbit bears a ring, his player makes a roll at the start of each of his untap phases -if the result is less that 7, the ring is discarded. Rescue-attacks (3): Orcs - 3 strikes with 6 prowess, Orcs - 4 strikes with 7 prowess, Orcs - 5 strikes with 8 prowess.
Which Might Be Lies	DarkMinions	WhichMightBeLies	Hazard	Short-event																				C2	Playable on a stored resource permanent-event that required an information site to be played. Discard event.
Will not Come Down	DarkMinions	WillnotComeDown	Hazard	Short-event																				U2	Playable on an untapped agent. Tap the agent who may then make an influence attempt against an ally, faction, or character. Unused general influence modification does not apply. If successful, the target is not discarded, but rather it is returned to its owner's hand.
Wisp of Pale Sheen	DarkMinions	WispofPaleSheen	Hazard	Creature	Undead						6	-	1	{w}{s}{d}{c}{R}{S}	1									C1	Undead. One strike. Attacker chooses defending characters. Any character facing a strike whose mind is equal to or lower than the strike's prowess must tap if untapped following the strike (unless the strike is cancelled).
Wound of Long Burden	DarkMinions	WoundofLongBurden	Hazard	Permanent-event															1					C2	Corruption. Playable on a character facing a strike with a prowess of 12 or greater. If the strike is not successful, discard this card. Otherwise, target character receives 1 corruption point and his body is lowered by 1. During his organization phase, a character at a Haven with this card may tap to attempt to remove it. Make a roll (or draw a #): if this result is greater than 7, discard this card.
Wraith-lord	DarkMinions	Wraithlord	Hazard	Short-event																				R2	Playable on a moving company with two Dark-domains in its site path. Each Nazgul that attacks target company this turn receives +2 prowess and lowers the body of any characters it wounds by one (for the rest of the turn). Each Nazgul so played does not count against the hazard limit. Cannot be duplicated on a given turn.
Your Welcome Is Doubtful	DarkMinions	YourWelcomeIsDoubtful	Hazard	Short-event																				U2	Playable on an untapped agent. Tap the agent who may then make an influence attempt against an ally or character. +6 to influence attempt (+10 if the agent is a diplomat). An additional +7 to the attempt if target character has the same home site as the agent or if target ally is playable at the agent's home site.
Folco Boffin	DarkMinions	FolcoBoffin	Hero Character		Hobbit	Scout	Bag End	3	0		0	9			1									U2	Unique. Unless he is one of the starting characters, he may only be brought into play at his home site. All of his corruption checks are modified by +2. You may discard Folco at a Haven to play any Hobbit from your hand with his company.
Aiglos	DarkMinions	Aiglos	Hero Resource	Special Item					2		+2(5)	1			5				3					R2	Unique.  Two-handed. Playable at any Under-deep Dark-hold or Shadow-hold. Weapon. Warrior only: +2 prowess (+5 if Doors of Night is in play) (to a maximum of 11); +1 body (to a maximum of 10); -2 to target's body; +3 direct influence against Elves and Elf factions.
An Unexpected Party	DarkMinions	AnUnexpectedParty	Hero Resource	Permanent-event																				R3	Only playable during the organization phase on a company. There is no limit to the size of this company. Dwarves with a mind of 2 or less in this company do not require influence to be controlled; and there is no limit to how many Dwarves may be brought into play on a given turn with the company. Discard this card if the company has more than one non-Wizard character with a mind greater than 5 or more than two non-Dwarf characters or no Dwarf with a mind greater than 5. Cannot be duplicated on a given company.
Ancient Stair	DarkMinions	AncientStair	Hero Resource	Short-event																				U2	Playable only at the end of the organization phase on a company that starts its turn at an untapped adjacent site of an Under-deeps site. Opponent may draw up to twice the normal number of cards for this company during the movement/hazard phase. If company moved to an Under-deep site, at the end of the turn the company may replace its site card with the site card at which it began the turn.
Armory	DarkMinions	Armory	Hero Resource	Permanent-event											-1									U2	Only you and your companies can use Armory. You may place any minor items from your hand under Armory during your organization phase. A character at a Haven can store a minor item under Armory instead of to your marshalling point pile. When you otherwise would be allowed to play a minor item from your hand at a Border-hold, Free-hold, or Haven, you may play an item from under Armory instead. If you have at least three minor items under Armory, gain 1 marshalling point.
Await the Advent of Allies	DarkMinions	AwaittheAdventofAllies	Hero Resource	Permanent-event																				U2	Playable on a non-Wizard character with a mind of six or less. Character must stay at its current non-Haven site until you play a card at the site. Target character does not count against general influence and its marshalling points do not count. Discard this card when you play a resource at the site, the character is discarded, or the character is wounded. Cannot be duplicated on a given character.
Balance Between Powers	DarkMinions	BalanceBetweenPowers	Hero Resource	Permanent-event																				R3	Environment. No environment cards can be played. At the start of your organization phase, discard this card or keep it in play by discarding an environment card form your hand. Your opponent can then discard an environment card from his hand to discard this card, which you can counter by discarding two environment cards from your hand, which he can counter by discarding one, which you can counter with two, he with one, etc. Discard when any play deck is exhausted.
Barrow-blade	DarkMinions	Barrowblade	Hero Resource	Permanent-event											1				1					C2	Tap the bearer of a Dagger of Westernesse during the site phase at a Ruins & Lairs and play this with the Dagger. Dagger receives +1 prowess (+3 versus Undead and Nazgul). Cannot be duplicated on a given Dagger.
Choice of Luthien	DarkMinions	ChoiceofLuthien	Hero Resource	Permanent-event											1									R2	Unique. Playable on Arwen in Minas Tirith. She receives +2 direct influence and her mind increases by 2. Discard if Arwen moves to a site not in Anorien, Lebennin, Lamedon, Belfalas, or Anfalas. Tap Arwen to take one item, ally, or faction playable at her current site from your play deck or discard pile into your hand (reshuffle play deck if searched).
Crown of Flowers	DarkMinions	CrownofFlowers	Hero Resource	Permanent-event																				C2	Environment. Crown of Flowers has no effect until you play a resource with it. You can play one resource from your hand with this card. The resource is considered to be played and to be in play as though Gates of Morning were in play and Doors of Night were not. Crown of Flowers does not affect the interpretation of any card except the resource played with it. Discard Crown of Flowers when the resource is discarded. Discard the resource if Crown of Flowers is discarded.
Cup of Farewell	DarkMinions	CupofFarewell	Hero Resource	Permanent-event																				U2	Playable on a company at a Haven [h] during the organization phase. Once during each of your turns, you can tap a character in this company, if the company is at a Haven, to take a minor item from your sideboard into your hand (show opponent). Cannot be duplicated on a given company.
Dark Numbers	DarkMinions	DarkNumbers	Hero Resource	Permanent-event											1									C2	Stolen Knowledge. Playable on an untapped scout immediately after facing an Orc, Troll, or Man attack. Tap scout. Can be stored at a Haven. If not stored, discard to give +3 to an influence attempt against a faction by a character in the same company.
Dragon-helm	DarkMinions	Dragonhelm	Hero Resource	Special Item					3		1	2			4				2					R2	Unique. Playable at any Under-deep Dark-hold (D) or Shadow-hold (S). Helmet. Warrior only: +1 prowess; +2 body (to a maximum of 10); +3 direct influence. Tap Dragon-helm to cancel one attack by Dragons or Drakes.
Dwarven Light-stone	DarkMinions	DwarvenLightstone	Hero Resource	Special Item											2				1					U2	Treasure. Playable at any Under-deep site. +2 to all rolls required for bearer's company to move to an adjacent site in the Under-deeps. Tap Dwarven Light-stone: to modify by -2 the prowess of one attack for which "weapons do not modify the target's prowess" (e.g., Trap, Lava Flow, etc.), or to modify by -2 the prowess of one Orc or Troll attack.
Enduring Tales	DarkMinions	EnduringTales	Hero Resource	Long-event																				C2	When any player discards a card from his hand, he may discard it to the top of his play deck (and always face down) instead of to his discard pile.
