Name	Set	Imagefile	Type	Class	Race	Skills	HomeSite	Mind	Influence	GI	Prowess	Body	Strikes	Playable	MP	SP	Magic	Specific	Corruption	Region	SitePath	Draw	OpponentDraw	Rarity	Text
Balrog of Moria	Wizards	BalrogofMoria	Hazard	Permanent-event											5									R	"Unique. Spawn. The Balrog appears in Moria. The Moria site gains a second automatic-attack of 1 strike with 18 prowess and 9 body. If this 2nd automatic attack is defeated, this permanent-event is removed from play (i.e., the Balrog is defeated). If your opponent defeats this 2nd automatic-attack, he receives the marshalling points. In addition, unless Galadriel is at Lorien or she is not in play, Lorien is considered a Free-hold [{F}] (for purposes of healing and playing hazards). +2 prowess to all automatic-attacks at sites in Hollin, Redhorn Gate, and Wold & Foothills. {cyan} UEP: The automatic-attack of Balrog of Moria is 1 strike at 18 prowess and 9 body."
Bane of the Ithil-stone	Wizards	BaneoftheIthilstone	Hazard	Permanent-event																				R	Corruption points for Palantiri are doubled. Automatically cancels any effect that causes a player to search through or look at any portion of a play deck or a discard pile outside of the normal sequence of play. Discard Bane of the Ithil-stone whenever a play deck is exhausted. Cannot be duplicated.
Barrow-wight	Wizards	Barrowwight	Hazard	Creature	Undead						12	-	1	{s}{d}{S}{D}	1									U	"Undead. One strike. After the attack, each character wounded by Barrow-wight makes a corruption check modified by -2. {cyan} UEP: Barrow-wight is playable at Barrow-downs."
Bert (Burat)	Wizards	BertBurat	Hazard	Creature	Trolls						12	5	1	{w}{s}{S}	1									U	"Unique. Troll. One strike. If played after William or Tom and if keyed to the same site path against the same company, each character wounded by Bert must discard all non-special items he bears.{green} DCE: Add a body value of 8."
Brigands	Wizards	Brigands	Hazard	Creature	Men						8	-	2	{b}{w}	1									CA2	"Men. Two strikes. If any strike of Brigands wounds a character, the company must immediately discard one item (of defender's choice)."
Call of Home	Wizards	CallofHome	Hazard	Short-event																				CA2	Playable on a non-Wizard character that is not the bearer of The One Ring. The character's player must make a roll (or draw a #); return the character to the player's hand if the result plus his unused general influence is less than 10. Any one item held by a character removed in this fashion may automatically be transferred to another character in his company.
Call of the Sea	Wizards	CalloftheSea	Hazard	Short-event																				U	Playable on a Elf character. The character's player must make a roll (or draw a #). Return the character to the player's hand if this result plus his unused general influence is less than 10. This result is modified by -3 if the character's company moved this turn using a site path containing a Coastal Sea [{c}]. Any one item held by a character removed in this fashion may automatically be transferred to another character in his company.
Cave-drake	Wizards	Cavedrake	Hazard	Creature	Dragon						10	-	2	{w}{w}{R}	1									CA2	Dragon. Two strikes. Attacker chooses defending characters. Two Wildernesses [{w}] in site path are required.
Choking Shadows	Wizards	ChokingShadows	Hazard	Short-event																				CA	"Environment. Modify the prowess of one automatic-attack at a Ruins & Lairs [{R}] site by +2. Alternatively, if Doors of Night is in play, treat one Wilderness [{w}] as a Shadow-land [{s}] or one Ruins & Lairs [{R}] as a Shadow-hold [{S}] until the end of the turn. Cannot be duplicated."
Clouds	Wizards	Clouds	Hazard	Long-event																				R	"Environment. If Doors of Night is in play, the prowess of each hazard creature is modified by +2. Cannot be duplicated."
Corpse-candle	Wizards	Corpsecandle	Hazard	Creature	Undead						7	-	1	{w}{s}{d}{S}{D}	1									CA	"Undead. One strike. If this attack is not canceled, every character in the company makes a corruption check before defending characters are selected."
Corsairs of Umbar	Wizards	CorsairsofUmbar	Hazard	Creature	Men						9	-	5	{c}	1									U	"Men. Five strikes. May also be played keyed to Andrast, Andrast Coast, Anfalas, Bay of Belfalas, Belfalas, Cardolan, Elven Shores, Enedhwaith, Eriadoran Caoast, Harondor, Lindon, Lebennin, Mouths of the Anduin, Old Pukel-land, Coast of Harad, Hyarmenfalas, Mardruak, and Mardruak Cape; and may also be played at Ruins & Lairs [{R}], Shadow-holds [{S}], and Border-holds {B} in these regions. May also be played at any site in Elven Shores, Eriadoran Coast, Andrast Coast, Bay of Belfalas, and Mouths of the Anduin."
Crebain	Wizards	Crebain	Hazard	Creature	Animals						5	-	1/each	{b}{w}{s}{d}{R}{S}{D}	1									CA	"Animals. Each character in the company faces one strike. After the attack, the defender must reveal one random card from his hand for each character in the defending company."
Daelomin	Wizards	Daelomin	Hazard	Creature	Dragon						13	8	3		4									R	"Unique. Winged. May be played at Dancing Spire. Dragon. Three strikes. Attacker chooses defending characters. If Doors of Night is in play, may also be played keyed to Grey Mountain Narrows, Iron Hills, Northern Rhovanion, and Withered Heath; and may also be played at site in these regions. {green} DCE: If Doors of Night is in play, may also be played keyed to Grey Mountain Narrows, Southern Rhovanion, Northern Rhovanion, and Withered Heath; and may also be played  at site in these regions."
Despair of the Heart	Wizards	DespairoftheHeart	Hazard	Permanent-event															2					CA	"Corruption. A non-Wizard, non-Hobbit character receives 2 corruption points. Target character makes a corruption check each time a character in his company becomes wounded. Cannot be duplicated on a given character. During his organization phase, a character with this card may tap to attempt to remove it. Make a roll (or draw a #): if this result is greater than 4, discard this card."
Doors of Night	Wizards	DoorsofNight	Hazard	Permanent-event																				F5	"Environment. All resource environment cards in play are immediately discarded, and all resource environment effects are canceled. Cannot be duplicated."
Dragon's Desolation	Wizards	DragonsDesolation	Hazard	Short-event																				U	The prowess of one Dragon attack is modified by +2 or one Dragon hazard creature may be played at a Ruins & Lairs [{R}] that has two Wildernesses [{w}] in its site path (only one Wilderness [{w}] is required if Doors of Night is in play).
Drowning Seas	Wizards	DrowningSeas	Hazard	Short-event																				U	"Environment. Playable on a company that moved this turn to a site with a Coastal Sea [{c}] in its site path. Target company loses one item of its choice and its player must randomly discard two cards from his hand. Alternatively, if Doors of Night is in play, target company must immediately return to its site of origin."
Dwar of Waw	Wizards	DwarofWaw	Hazard	Creature/Permanent-event	Nazgul						15	10	1	{d}{D}	5									R	"Unique. Nazgul (3rd). May be played as a hazard creature (with one strike) or as a permanent-event. As a creature, may also be played keyed to Harondor, Imlad Morgul, Gorgoroth, and Ithilien; and may also be played at sites in these regions. If played as a permanent-event, it will remain in play until tapped during the opponent's movement/hazard phase (tapping counts against the hazard limit). When tapped, Dwar of Waw becomes a short-event and gives +1 prowess to all Wolf, Spider and Animal attacks until the end of the turn. {green} DCE: As a creature, may also be played keyed to Dagorlad, Imlad Morgul, Udun, and Gorgoroth; and may also be played at sites in these regions."
Eye of Sauron	Wizards	EyeofSauron	Hazard	Long-event																				R	"The prowess of each automatic-attack is increased by one. If Doors of Night is in play, the prowess of each automatic-attack is increased by three."
Fell Beast	Wizards	FellBeast	Hazard	Short-event																				R	"The number of strikes of one Nazgul hazard creature is increased by one and its prowess is decreased by 2. Attacker chooses defending characters. Additionally, target Nazgul may be played keyed to a Shadow-land [{s}] or Shadow-hold [{S}]. Cannot be duplicated on a given Nazgul. {cyan} UEP: Fell Beast counts as half a creature for the purpose of deck building. {cyan} UEP: Fell Beast counts as half a creature for the purpose of deck building."
Fell Turtle	Wizards	FellTurtle	Hazard	Creature	Animals						15	-	1	{c}	1									R	"Animals. One strike. If any strike is successful, the defending company must return to its site of origin (defending characters are wounded normally)."
Fell Winter	Wizards	FellWinter	Hazard	Long-event																				CA	"Environment. Each Border-hold [{B}] receives an automatic-attack: Wolves -- strikes with 7 prowess. Additionally, if Doors of Night is in play, treat all Free-domains [{f}] as Border-lands [{b}] and all Border-lands [{b}] as Wildernesses [{w}]. Cannot be duplicated."
Foul Fumes	Wizards	FoulFumes	Hazard	Long-event																				CA	"Environment. Each moving company that has a Shadow-land [{s}] or a Dark-domain [{d}] in its site-path must return to its site of origin unless it contains a ranger. Additionally, if Doors of Night is in play, each non-Haven site in play with a Shadow-land [{s}] or a Dark-domain [{d}] in its site path is tapped. Cannot be duplicated."
Ghosts	Wizards	Ghosts	Hazard	Creature	Undead						9	-	3	{s}{d}{S}{D}	1									CA	"Undead. Three strikes. After attack, each character wounded by the Gosts makes a corruption check modified by -1."
Ghouls	Wizards	Ghouls	Hazard	Creature	Undead						7	-	5	{s}{d}{S}{D}	1									CA	Undead. Five strikes.
Giant	Wizards	Giant	Hazard	Creature	Giants						13	-	1	{w}{w}	1									CA2	Giant. One strike. Two Wildernesses [{w}] in the site path are required.
Giant Spiders	Wizards	GiantSpiders	Hazard	Creature	Spiders						10	-	2	{w}{w}	1									CA2	"Spiders. Two strikes. If the body check for a non-Wizard character wounded by Giant Spiders equals the character's body, the character is discarded. May also be played keyed to Heart of Mirkwood, Southern Mirkwood, Western Mirkwood, and Woodland Realm; and may also be played at Ruins & Lairs [{R}], Shadow-holds [{S}], and Dark-holds [{D}] in these regions. Two Wildernesses [{w}] in site path are otherwise required."
Gloom	Wizards	Gloom	Hazard	Short-event																				CA	"Environment. Playable only on a company that is moving this turn. One character (attacker's choice) in that company suffers -1 to his prowess until the end of the turn. Alternatively, if Doors of Night is in play, treat one Border-land [{b}] as a Wilderness [{w}] or one Border-hold [{B}] as a Ruins & Lairs [{R}] until the end of the turn. Cannot be duplicated."
Greed	Wizards	Greed	Hazard	Short-event																				CA	"Playable on a site. Until the end of the turn, each non-Hobbit, non-Wizard character at the site must make a corruption check each time an item is played at the site. The character playing an item need not make a corruption check. When a character makes one of these corruption checks, it is modified by subtracting the corruption points that the item would normally give the character if he controlled the item. Cannot be duplicated on a given site."
Half-trolls of Far Harad	Wizards	HalftrollsofFarHarad	Hazard	Creature	Trolls						10	-	2	{s}{d}{S}{D}	1									CA	Trolls. Two strikes.
Hoarmurath of Dir	Wizards	HoarmurathofDir	Hazard	Creature/Permanent-event	Nazgul						15	9	1	{d}{D}	5									R	"Unique. Nazgul (6th). May be played as a hazard creature (with one strike) or as a permanent-event. As a creature, may also be played keyed to Dagorlad, Ithilien, Gorgoroth, and Khand; and may also be played at sites in these regions. If played as a permanent-event, it will remain in play until tapped during the opponent's movement/hazard phase (tapping counts against the hazard limit). When tapped, Hoarmurath of Dir becomes a short-event and gives +1 strike to any one attack. {green} DCE: As a creature, may also be played keyed to Imlad Morgul, udun, Azjan, and Gorgoroth, and may also be played at sites in these regions."
Huorn	Wizards	Huorn	Hazard	Creature	Awakened Plant						10	-	1	{w}	1									CA	"Awakened Plant. One strike. May also be played at Druadan Forest, Old Forest, and Wellinghall. May also be played keyed to Heart of Mirkwood, Southern Mirkwood, Western Mirkwood, and Woodland Realm; and may also be played at Ruins & Lairs [{R}] and Shadow-holds [{S}] in these regions."
Indur Dawndeath	Wizards	IndurDawndeath	Hazard	Creature/Permanent-event	Nazgul						15	10	1	{d}{D}	5									R	"Unique. Nazgul (4th). May be played as a hazard creature (with one strike) or as a permanent-event. As a creature, may also be played keyed to Harondor, Imlad Morgul, Gorgoroth, and Khand; and may also be played at sites in these regions. If played as a permanent-event, it will remain in play until tapped during the opponent's movement/hazard phase (tapping counts against the hazard limit). When tapped, Indur Dawndeath becomes a short-event and makes any wounded character discard an item (but not a ring). {green} DEC: As a creature, may also be played keyed to Nurn, Horse Plains, Khand, and Gorgoroth; and may also be played at sites in these regions."
Khamul the Easterling	Wizards	KhamultheEasterling	Hazard	Creature/Permanent-event	Nazgul						18	8	1	{d}{D}	6									R	"Unique. Nazgul (2nd). May be played as a hazard creature (with one strike) or as a permanent-event. As a creature, may also be played keyed to Brown Lands, Heart of Mirkwood, Gorgoroth, and Southern Mirkwood; may also be played at sites in those regions. If played as a permanent-event, it will remain in play until tapped during the opponent's movement/hazard phase (tapping counts against the hazard limit). When tapped, Khamul the Easterling becomes a short-event and forces opponent to discard one card of his choice for every Nazgul permanent-event in play (including this one)."
Leucaruth	Wizards	Leucaruth	Hazard	Creature	Dragon						16	8	2		4									R	"Unique. May be played at Irerock. Dragon. Two strikes. If Doors of Night is in play, may also be played keyed to Grey Mountain Narrows, Iron Hills, Northern Rhovanion, and Withered Heath; and may also be played at sites in these regions."
Long Winter	Wizards	LongWinter	Hazard	Long-event																				CA	"Environment. Each moving company that has at least two Wildernesses [{w}] in its site path must return to its site of origin unless it contains a ranger. Additionally, if Doors of Night is in play, each non-Haven site in play with at least two Wildernesses [{w}] in its site path is tapped. Cannot be duplicated."
Lost at Sea	Wizards	LostatSea	Hazard	Short-event																				R	"Playable on a company that is moving this turn. If the company has a Coastal Sea [{c}] in its site path, it may do nothing at the site during its site phase."
Lost in Border-lands	Wizards	LostinBorderlands	Hazard	Short-event																				CA	Playable on a company that is moving this turn. You may play one additional hazard on target campany for each Border-land [{b}] in its site path.
Lost in Dark-domains	Wizards	LostinDarkdomains	Hazard	Short-event																				R	"Playable on a company that is moving this turn. If the company has a Dark-domain [{d}] in its site path, its hazard limit is doubled until the end of the turn."
Lost in Free-domains	Wizards	LostinFreedomains	Hazard	Short-event																				CA	"Playable on a company that is moving this turn. If the company has a Free-domain [{f}] in its site path, it may do nothing at the site during its site phase."
Lost in Shadow-lands	Wizards	LostinShadowlands	Hazard	Short-event																				CA	Playable on a company that is moving this turn. You may play one additional hazard on target company for each Shadow-land [{s}] in its site path.
Lost in the Wilderness	Wizards	LostintheWilderness	Hazard	Short-event																				CA	Playable on a company that is moving this turn. You may play one additional hazard on target company for each Wilderness [{w}] in its site path.
Lure of Creation	Wizards	LureofCreation	Hazard	Permanent-event															2					U	"Corruption. A revealed Wizard receives 2 corruption points and makes a corruption check at the end of any movement/hazard phase in a turn during which his company moved to a Haven [{H}]. Cannot be duplicated on a given Wizard. During his organization phase, a Wizard with this card may tap to attempt to remove it. Make a roll (or draw a #): if this result is greater than 6, discard this card."
Lure of Expedience	Wizards	LureofExpedience	Hazard	Permanent-event															2					CA	"Corruption. Does not affect Hobbits and Wizards. A character receives 2 corruption points. Target character makes a corruption check each time a character in his company gains an item. Cannot be duplicated on a given character. During his organization phase, a character with this card may tap to attempt to remove it. Make a roll (or draw a #): if this result is greater than 5, discard this card."
Lure of Nature	Wizards	LureofNature	Hazard	Permanent-event															2					CA2	"Corruption. Does not affect Hobbits and Dwarves. A character receives 2 corruption points. Target character makes one corruption check after all other hazards have been played for each Wilderness [{w}] in the site path that his company moved through that turn. Cannot be duplicated on a given character. During his organization phase, a character with this card may tap to attempt to remove it. Make a roll (or draw a #): if this result is greater than 4, discard this card."
Lure of Power	Wizards	LureofPower	Hazard	Permanent-event																				R	"The next non-Hobbit character to make a successful influence attempt (e.g. against a faction, an opponent's character, etc.) must immediately make a corruption check modified by -4. Discard this card after this corruption check."
Lure of the Senses	Wizards	LureoftheSenses	Hazard	Permanent-event															2					CA	"Corruption. A character receives 2 corruption points. Target character makes a corruption check at the end of his untap phase if he is at a Haven [{H}]. Cannot be duplicated on a given character. During his organization phase, a character with this card may tap to attempt to remove it. Make a roll (or draw a #): if this results is greater than 6, discard this card."
Minions Stir	Wizards	MinionsStir	Hazard	Long-event																				U	The number of strikes and prowess of each Orc and Troll attack is increased by one (by two for Orces if Doors of Night is in play). Cannot be duplicated.
Morgul Night	Wizards	MorgulNight	Hazard	Long-event																				R	"Environment. Playable only if Doors of Night is in play, treat all Wildernesses [{w}] as Shadow-lands [{s}] and all Shadow-lands [{s}] as Dark-domains [{d}]. Cannot be duplicated."
Morgul-horse	Wizards	Morgulhorse	Hazard	Short-event																				R	"This card allows you to place a tapped Nazgul permanent-event back into your hand instead of discarding it. Alternatively, allows a Nazgul to be played keyed to a Shadow-land [{s}]."
Morgul-knife	Wizards	Morgulknife	Hazard	Permanent-event															4					R	"A Nazgul's prowess is modified by +2. Discard if attack doesn't wound a character. Corruption. One character (attacker's choice) wounded by an attack modified by this card receives 4 corruption points (place this card under the character). If at a Haven during his untap phase, a character with this card may attempt to remove it (but he may not untap or heal). Make a roll (or draw a #): if this result is greater than 4, discard this card. Cannot be duplicated on a given Nazgul."
Mouth of Sauron	Wizards	MouthofSauron	Hazard	Creature/Short-event	Men						13	8	1	{d}{D}	3									R	"Unique. Man. May be played as a hazard creature (with one strike) or as a short-event. If played as a short-event, bring any hazard card from your discard pile back into your hand."
Mumak (Oliphant)	Wizards	MumakOliphant	Hazard	Creature	Animals						12	-	2		1									R	"Animals. May be played keyed to Dagorlad, Gorgoroth, Horse Plains, Ithilien, Khand, Nurn, Udun; and may also be played at sites in these regions. May also be played (on the same turn and on the same company as Corsairs of Umbar) keyed to Andrast, Anfalas, Belfalas, Lebennin; and at Ruins & Lairs [{R}] and Shadow-holds [{S}] in these regions. {cyan} UEP: Animals. May be keyed to Dagorlad, Gorgoroth, Horse Plains, Ithilien, Khand, Nurn, Udun, or Harondor; and may also be played at sites in these regions. May also be played (on the same turn and on the same company as Corsairs of Umbar) keyed to Andrast, Anfalas, Belfalas, Lebennin; and at Ruins and Lairs and Shadow-holds in these regions."
Muster Disperses	Wizards	MusterDisperses	Hazard	Short-event																				CA	"Affects a faction already in play. The faction's player makes a roll (or draws a #), the faction is discarded if the result plus his unused general influence is less than 11."
New Moon	Wizards	NewMoon	Hazard	Short-event																				U	"Environment. Tap one Elf character. Alternatively, if Doors of Night is in play, treat one Free-domain [{f}] as a Border-land [{b}] or one Free-hold [{F}] as a Border-hold [{B}] until the end of the turn. Cannot be duplicated."
Night	Wizards	Night	Hazard	Long-event																				CA	"Environment. The prowess of each non-ranger Dunadan is modified by -1. Additionally, if Doors of Night is in play, the prowesses of all attacks are modified by +1 and the prowess of each Man and Dunadan is modified by -1. Cannot be duplicated."
Old Man Willow	Wizards	OldManWillow	Hazard	Creature	Awakened Plant						13	-	1	{w}{w}	1									U	"Awakened Plant. One strike. 15 prowess against Hobbits. May also be played keyed to Fangorn, Heart of Mirkwood, Southern Mirkwood, and Western Mirkwood; and may also be played at Ruins & Lairs [{R}], Shadow-holds [{S}], and Dark-holds [{D}] in these regions. Also playable at Old Forest and Druadan Forest. Two Wildernesses [{w}] in site path are required."
Olog-hai (Trolls)	Wizards	OloghaiTrolls	Hazard	Creature	Trolls						10	5	3	{s}{d}{D}	2									U	
Orc-guard	Wizards	Orcguard	Hazard	Creature	Orcs						8	-	5	{s}{d}{S}{D}	1									CA	Orcs. Five strikes.
Orc-lieutenant	Wizards	Orclieutenant	Hazard	Creature	Orcs						7	-	1	{w}{s}{d}{R}{S}{D}	1									U	"Orcs. One strike. If played on a company that has already faced an Orc attack this turn, Orc-lieutenant receives +4 prowess."
Orc-patrol	Wizards	Orcpatrol	Hazard	Creature	Orcs						6	-	3	{w}{s}{d}{R}{S}{D}	1									CA2	Orcs. Three strikes.
Orc-raiders	Wizards	Orcraiders	Hazard	Creature	Orcs						6	-	4	{b}{w}{R}	1									CA2	Orcs. Four strikes.
Orc-warband	Wizards	Orcwarband	Hazard	Creature	Orcs						4	-	5	{w}{s}{d}{R}{S}{D}	1									CA	"Orcs. Five strikes. If played on a company that has already faced an Orc attack this turn, Orc-warband receives +3 prowess."
Orc-warriors	Wizards	Orcwarriors	Hazard	Creature	Orcs						7	-	3	{b}{w}{R}	1									CA2	Orcs. Three strikes.
Orc-watch	Wizards	Orcwatch	Hazard	Creature	Orcs						9	-	3	{s}{d}{S}{D}	1									CA	Orcs. Three strikes.
Pick-pocket	Wizards	Pickpocket	Hazard	Creature	Men						11	-	1	{F}{B}	1									U	"Men. One strike. Attacker chooses the defending characters. For each successful strike, an item the defending character bears must be discarded (defender's choice); he is not harmed."
Plague of Wights	Wizards	PlagueofWights	Hazard	Long-event																				U	"The prowess of all Undead attacks is increased by one. Additionally, if Doors of Night is in play, the number of strikes for each Undead attack is doubled. Cannot be duplicated."
Pukel-men	Wizards	Pukelmen	Hazard	Creature	Pukel-creature						11	-	2	{S}{D}	1									R	"Pukel-creature. Two strikes. May also be played at Ruins & Lairs [{R}] sites in the following regions: Andrast, Anfalas, Anorien, Dunland, Enedhwaith, Gap of Isen, Lamedon, Old Pukel Gap, Old Pukel Land, and Rohan."
Ren the Unclean	Wizards	RentheUnclean	Hazard	Creature/Permanent-event	Nazgul						15	10	1	{d}{D}	5									R	"Unique. Nazgul (8th). May be played as a hazard creature (with one strike) or as a permanent-event. As a creature, may also be played keyed to Dagorlad, Ithilien, Gorgoroth, and Horse Plains; and may also be played at sites in these regions. If played as a permanent-event, it will remain in play until tapped during the opponent's movement/hazard phase (tapping counts against the hazard limit). When tapped, Ren the Unclean becomes a short-event: each character in play must make a corruption check. {green} DCE: As a creature, may also be played keyed to Nurad, Nuriag, Chey Sart, and Gorgoroth; and may also be played at sites in these regions."
River	Wizards	River	Hazard	Short-event																				CA2	"Playable on a site. If a company that has moved to this site this turn does not tap a ranger, it must do nothing during its site phase. {cyan} UEP: Tapping a single ranger to meet the requirements of River also meets the requirements of any other Rivers already played and resolved on the same site."
Rogrog	Wizards	Rogrog	Hazard	Creature	Trolls						13	8	1	{d}{S}{D}	2									R	Unique. Troll. One strike.
Shelob	Wizards	Shelob	Hazard	Creature/Permanent-event	Spiders						18	9	1		6									R	"Unique. Spider. Spawn. May be played as a hazard creature (with one strike) or as a permanent-event. As a creature, may be played at any site in Imlad Morgul or Gorgoroth. If Doors of Night is in play, Shelob may be played as a permanent-event that gives +1 prowess and +1 strikes to all Spider and Animal attacks. She may opt to attack from a permanent-event state and receive these bonuses, but her attack counts as one against the hazard limit. Discard when Shelob attacks or when Doors of Night leaves play."
Siege	Wizards	Siege	Hazard	Permanent-event										{B}{F}										R	"Playable on a Border-hold [{B}] or Free-hold [{F}] site. A company at this site must face an Orc attack of three strikes at 7 prowess at the beginning of its site phase. At the end of the organization phase, a company at a site with Siege on it must make a roll (or draw a #) andsubtract one from the result for every non-scout character it contains. If this result is less than 5, the company may not move this turn. Discard when the site card is discarded or when the site card is returned to the location deck. Cannot be duplicated on a given site."
Silent Watcher	Wizards	SilentWatcher	Hazard	Creature	Pukel-creature						8	-	1/each	{S}{D}	1									R	Pukel-creature. Each character in the company faces one strike.
Slayer	Wizards	Slayer	Hazard	Creature	Slayer						11	-	2	{b}{B}	2									CA	Slayer. Two attacks (of one strike each) against the same character. Attacker chooses defending character. The defender may tap one character in the same company to cancel one of these attacks.
Smaug	Wizards	Smaug	Hazard	Creature	Dragon						17	8	2		5									R	"Unique. Winged. May be played at The Lonely Mountain. Dragon. Two strikes. Attacker chooses defending character. If Doors of Night is in play, may also be played keyed to Grey Mountain Narrows, Iron Hills, Northern Rhovanion, and Withered Heath; and may also be played at sites in these regions."
Snowstorm	Wizards	Snowstorm	Hazard	Long-event																				R	Environment. Playable only if Doors of Night is in play. Each moving company with a Wilderness [{w}] in its site path must return to its site of origin. Cannot be duplicated.
Storms of Osse	Wizards	StormsofOsse	Hazard	Long-event																				R	Environment. Playable only if Doors of Night is in play. Each non-haven site in play with a Coastal Sea in its site path is tapped. Cannot be duplicated.
The Balance of Things	Wizards	TheBalanceofThings	Hazard	Long-event																				R	Unique. Each character has the corruption points doubled for one of his sources of corruption (the player controlling the character chooses).
The Burden of Time	Wizards	TheBurdenofTime	Hazard	Permanent-event															2					U	"Corruption. Playable on an Elf not in a Haven [{H}]. Target Elf receives 2 corruption points and must make a corruption check during each of his untap phases if he is not in a Haven. Cannot be duplicated on a given Elf. During his organization phase, an Elf with this card may tap to attempt to remove it. Make a roll (or draw a #): if this result is greater than 7, discard this card."
The Great Goblin	Wizards	TheGreatGoblin	Hazard	Creature	Orcs						12	7	1	{D}	2									R	Unique. Orc. One strike. May also be played on a company moving from Rivendell to Lorien or from Lorien to Rivendell. May also be played keyed to High Pass and at sites in High Pass.
The Nazgul are Abroad	Wizards	TheNazgulareAbroad	Hazard	Permanent-event																				R	"Nazgul may attack the company containing the bearer of The One Ring at any site that is not a Free-hold [{F}] or Haven [{H}]. Nazgul may attack any company possessing any ring in a Shadow-land [{s}] or Shadow-hold [{S}]. If Doors of Night is in play, at the end of each turn, each player may return one Nazgul permanent-event from his discard pile to his hand. Cannot be duplicated."
The Pale Sword	Wizards	ThePaleSword	Hazard	Permanent-event															6					R	"Unique. A Nazgul's prowess is modified by +1; if used with the Witch-king of Angmar, his prowess is increased by +1 plus the number of Nazgul permanent-events in play. Discard if attack doesn't wound a character. Corruption. One character wounded by an attack modified by this card receives 6 corruption points (place this card under the character). If at a haven [{H}] during his untap phase, a character with this card may attempt to remove it instead of untapping or healing. Make a roll (or draw a #): if this result is greater than 5, discard this card. May not be duplicated on a given Nazgul."
The Precious	Wizards	ThePrecious	Hazard	Short-event																				R	"A character in the same company as The One Ring (not the bearer himself) must make a corruption check modified by -2. If he fails, discard The One Ring along with the target character."
The Ring's Betrayal	Wizards	TheRingsBetrayal	Hazard	Short-event																				U	"The bearer of a Ring must make a corruption check modified by -2. If the bearer fails this corruption check, his Ring is discarded, but he remains in play."
