Name	Set	Imagefile	Type	Class	Race	Skills	HomeSite	Mind	Influence	GI	Prowess	Body	Strikes	Playable	MP	SP	Magic	Specific	Corruption	Region	SitePath	Draw	OpponentDraw	Rarity	Text
Icy Touch	Dragons	IcyTouch	Hazard	Permanent-event															2					C2	The prowess of one Undead attack is modified by +1. Corruption. The next character wounded by the attack (on whom a corruption card has not already been played this turn) receives 2 corruption points (place this card with the character). Discard Icy Touch if it is not played with a character. During his organization phase, a character with this card may tap and attempt to remove it. Make a roll (or draw a #): if this result is greater than a 6, discard this card.
Incite Denizens	Dragons	InciteDenizens	Hazard	Short-event																				C2	Creates an additional automatic-attack at a Ruins & Lairs [{R}] until the end of the turn. This is an exact duplicate (including all existing and eventual modifications to prowess, etc.) of an existing automatic-attack of your choice at the site. This automatic-attack is faced after the automatic-attack it duplicates. Cannot be duplicated on a given site.
Incite Minions	Dragons	InciteMinions	Hazard	Short-event																				C2	Creates an additional automatic-attack at a Shadow-hold [{S}] or Dark-hold [{D}] until the end of the turn. This is an exact duplicate (including all existing and eventual modifications to prowess, etc.) of an existing automatic-attack of your choice at the site. This automatic-attack is faced after the automatic-attack it duplicates. Cannot be duplicated on a given site.
Itangast	Dragons	Itangast	Hazard	Creature	Dragon						18	8	3		6									R2	Unique. May be played at Gold Hill. Dragon. Three strikes. If Doors of Night is in play, may also be played keyed to Withered Heath, Iron Hills, Northern Rhovanion, Grey Mountain Narrows; may also be played at sites in these regions.
Itangast Ahunt	Dragons	ItangastAhunt	Hazard	Long-event							16	7	4		6									U2	Unique. Any company moving in Withered Heath, Northern Rhovanion, Iron Hill, and/or Grey Mountain Narrows immediately faces one Dragon attack (considered a hazard creature attack) -- 4 strikes at 16/7. If Doors of Night is in play, this attack also affects: Southern Rhovanion, Dorwinion, Heart of Mirkwood, and Woodland Realm.
Itangast at Home	Dragons	ItangastatHome	Hazard	Permanent-event							19	8	3		6									R3	Unique. Unless Itangast Ahunt is in play, Gold Hill has an additional automatic-attack: Dragon -- 3 strikes at 19/8. In addition, each greater item gives an additional corruption point.
Known to an Ounce	Dragons	KnowntoanOunce	Hazard	Permanent-event																				R2	Playable on a site that contains a hoard or on a Dragon at home manifestation. If any item is played at the site or at the site associated with the Dragon at home manifestation, the site's automatic-attacks are again faced. Discard this card when the associated site or Dragon manifestation leaves play. Cannot be duplicated on a given site or Dragon Manifestation.
Land-drake	Dragons	Landdrake	Hazard	Creature	Drake						8	-	1	{w}{R}	1									C2	Drake. One strike. Attacker chooses defending characters.
Left Behind	Dragons	LeftBehind	Hazard	Short-event																				U2	Playable on a non-Wizard character whose company is facing an attack of five strikes or more. Following the attack, character splits off into a different company with the same site path as the company in which he was. He faces a seperate movement/hazard phase this turn with a hazard limit of one. He may rejoin his original company following all movement/hazard phases.
Lesser Spiders	Dragons	LesserSpiders	Hazard	Creature	Spiders						7	-	4	{w}{s}{R}	1									C2	Spiders. Four strikes.
Leucaruth Ahunt	Dragons	LeucaruthAhunt	Hazard	Long-event							14	7	3		4									U2	Unique. Any company moving in Withered Heath, Northern Rhovanion, Iron Hills, and/or Grey Mountain Narrows immediately faces one Dragon attack (considered a hazard creature attack) -- 3 strikes at 14/7. If Doors of Night is in play, this attack also affects: Southern Rhovanion, Dorwinion, Heart of Mirkwood, and Woodland Realm.
Leucaruth at Home	Dragons	LeucaruthatHome	Hazard	Permanent-event							17	8	2		4									R3	Unique. Unless Leucaruth Ahunt is in play, Irerock has an additional automatic-attack: Dragon -- 2 strikes at 17/8. In addition, only one unique Dragon manifestation may be played per turn.
Light-drake	Dragons	Lightdrake	Hazard	Creature	Drake						8	-	2	{w}{R}	1									C2	Drake. Two strikes.
Many Sorrows Befall	Dragons	ManySorrowsBefall	Hazard	Short-event																				R2	Unique. Forces the discard of one resource long-event. Alternatively, can target and cancel one resource short-event declared earlier in the same chain of effects (i.e. before the resource short-event resolves).
Marsh-drake	Dragons	Marshdrake	Hazard	Creature	Drake						11	-	2	{c}{s}	1									C2	Drake. Two strikes.
Memories Stolen	Dragons	MemoriesStolen	Hazard	Permanent-event																				R2	Dark enchantment. A non-Wizard character facing a strike from a Dragon hazard creature attack loses all skills while bearing this card. The strike's prowess is modified by -3. Cannot be duplicated on a given character. If at a Haven [{H}] during his organization phase, a character with this card may tap to attempt to remove it. Make a roll (or draw a #): if this result is greater than 8, discard this card. Modify the roll by +1 for each character in his company that taps in support.
Morgul-rats	Dragons	Morgulrats	Hazard	Creature	Animals						2	5	15		1									R3	Vermin. Only playable at a Shadow-hold or at a Dark-hold, and only if a character in the company is wounded or Doors of Night is in play.
No Escape from My Magic	Dragons	NoEscapefromMyMagic	Hazard	Permanent-event																				R2	Playable on any unique faction in play. On the turns after it is played, this card affects the region that contains the site where this faction is playable and all adjacent regions. Each company moving with region cards using one or more of such regions must make a roll (or draw a #) modified by +2 for each ranger in the company, by +1 for each scout, and by +1 for each diplomat. If the result is 12 or less, the company must do nothing during the site phase. Cannot be duplicated on a given faction.
Noose of the Sea	Dragons	NooseoftheSea	Hazard	Long-event																				U2	Affects each company with a Costal Sea [{c}] in its site path. The on-going effects of all resource short-events that were played during the organization phase are cancelled for the duration of the movement/hazard phase and the site phase. Such short-events have no effect on this card (i.e., it may not be cancelled by such a short-event).
Parsimony of Seclusion	Dragons	ParsimonyofSeclusion	Hazard	Short-event																				R3	Return any unique Dragon manifestation to your hand from your discard pile. Alternatively, return any manifestation of Agburanar to your hand from your discard pile and increase the hazard limit by two.
Passion of Wrath	Dragons	PassionofWrath	Hazard	Short-event																				R3	A strike from a Dragon attack is modified by +2 prowess and -1 body. Alternatively, a strike from an attack by a manifestation of Smaug is modified by +4 prowess and -2 body.
Peril Returned	Dragons	PerilReturned	Hazard	Long-event																				C2	If Gates of Morning is not in play, Doors of Night is considered to be in play. If Gates of Morning is in play, it is considered to be out of play while Peril Returned is in play. Gates of Morning may still be removed normally (e.g., through the use of Twilight, Doors of Night, etc.).
Prowess of Age	Dragons	ProwessofAge	Hazard	Short-event																				R3	Targets and cancels any effect (declared earlier in the same chain of effects) that would cancel an attack from a unique Dragon manifestation. Alternatively, gives a prowess bonus to a Dragon or Drake attack (must be played before its strikes are assigned) dictated by the number of Prowess of Age cards played on the attack: +1 prowess if 1 played; +4 if 2 played; +9 if 3 played.
Prowess of Might	Dragons	ProwessofMight	Hazard	Short-event																				R3	A Dragon attack is modified by +1 to prowess and +1 to body. Alternatively, an attack by a manifestation of Scatha is modified by +2 to prowess and +2 to body.
Rain-drake	Dragons	Raindrake	Hazard	Creature	Drake						15	-	1	{c}{w}{w}{w}	1									C2	Drake. One strike. Three Wildernesses [{w}] in site path are required. May also be played at a Ruins & Lairs [{R}] that has two Wildernesses [{w}] or one Coastal Sea [{c}] in its site path.
Rumor of Wealth	Dragons	RumorofWealth	Hazard	Short-event																				U2	Playable on a Ruins & Lairs [{R}] that is not a Dragon's lair. Any one Dragon hazard creature (except Earcaraxe) may be played (and does not count against the hazard limit) at the site during the site phase this turn after the successful play of a major or greater item.
Sand-drake	Dragons	Sanddrake	Hazard	Creature	Drake						12	-	3		1									U2	Drake. Three Strikes. Attacker chooses defending characters. May be played keyed to Khand and Harondor. If Doors of Night is in play, may also be played keyed to Ithilien, Nurn, and Horse Plains. {green} DCE: May also be played keyed to Near Harad, Dune Sea, Mirror of Fire. If Doors of Night is in play, may also be played keyed to Nurad, Nuriag.
Scatha	Dragons	Scatha	Hazard	Creature	Dragon						15	9	3		5									R2	Unique. May be played at Gondmaeglom. Dragon. Three strikes. If Doors of Night is in play, may also be played keyed to Withered Heath, Woodland Realm, Northern Rhovanion, and Grey Mountain Narrows; and may also be played at sites in these regions.
Scatha Ahunt	Dragons	ScathaAhunt	Hazard	Long-event							13	8	4		5									U2	Unique. Any company moving in Withered Heath, Woodland Realm, Northern Rhovanion, and/or Grey Mountain Narrows immediately faces one Dragon attack (considered a hazard creture attack) -- 4strikes at 13/8. If Doors of Night is in play, this attack also affects: Anduin Vales, Western Mirkwood, Heart of Mirkwood,and Gundabad.
Scatha at Home	Dragons	ScathaatHome	Hazard	Permanent-event							16	9	3		5									R3	Unique. Unless Scatha Ahunt is in play, Gondmaeglom has an additional automatic-attack: Dragon -- 3 strikes at 16/9. In addition, -1 to all influence attempts.
Scorba	Dragons	Scorba	Hazard	Creature	Dragon						12	8	3		3									R2	Unique. Winged. May be played at Zarak Dum. Dragon. Three strikes. Attacker chooses defending characters. If Doors of Night is in play, may also be played keyed to Forochel, Angmar, Gundabad; may also be played at sites in these regions.
Scorba Ahunt	Dragons	ScorbaAhunt	Hazard	Long-event							10	7	4		3									U2	Unique. Any company moving in Forochel, Angmar, and/or Gundabad immediately faces one Dragon attack (considered a hazard creature attack) -- 4 strikes at 10/7 (attacker chooses defending characters). If Doors of Night is in play, this attack also affects: Númeriador, Arthedain, and Rhudaur.
Scorba at Home	Dragons	ScorbaatHome	Hazard	Permanent-event							13	8	3		3									R3	Unique. Unless Scorba Ahunt is in play, Zarak Dum has an additional automatic-attack: Dragon -- 3 strikes at 13/8. In addition, each major item gives an additional corruption point.
Sea Serpent	Dragons	SeaSerpent	Hazard	Creature	Drake						14	6	2	{c}	2									C1	Drake. Two strikes.
Searching Eye	Dragons	SearchingEye	Hazard	Short-event																				C2	Cancel any card requiring scout skill before it is resolved or cancel any ongoing effect of a card that required scout skill to play. If this card is played as an on-guard card, it can be revealed during opponent's site phase to cancel a card requiring scout skill.
Shadow of Mordor	Dragons	ShadowofMordor	Hazard	Permanent-event																				R2	Environment. The hazard limit for each company is increased by one for every card over one drawn by that company during its movement/hazard phase. Additionally, if Doors of Night is in play, during each company's movement/hazard phase, the hazard player may draw one additional card for every card in excess of one drawn by his opponent. Cannot be duplicated.
Sleepless Malice	Dragons	SleeplessMalice	Hazard	Long-event																				U2	One Undead hazard creature against each company doesn't count against its hazard limit. Additionally, if Doors of Night is in play, any Undead hazard creature may be played keyed to Ruins and Lairs. Cannot be duplicated.
Smaug Ahunt	Dragons	SmaugAhunt	Hazard	Long-event							15	7	3		5									U2	Unique. Any company moving in Withered Heath, Northern Rhovanion, Iron Hills, and/or Grey Mountain Narrows immediately faces one Dragon attack (considered a hazard creature attack) -- 3 strikes at 15/7 (attacker chooses defending character). If Doors of Night is in play, this attack also affects: Brown Lands, Southern Rhovanion, Dorwinion, Dagorland, and Horse Plains.
Smaug at Home	Dragons	SmaugatHome	Hazard	Permanent-event							18	8	2		5									R3	Unique. Unless Smaug Ahunt is in play, The Lonely Mountain has an additional automatic-attack: Dragon -- 2 strikes at 18/8. In addition, each moving company draws one less card to minimum of one at the start of its movement/hazard phase.
Song of the Lady	Dragons	SongoftheLady	Hazard	Long-event																				R2	Song. At the end of the organization phase, each company at Lorien that wishes to move must make a roll (or draw a #). This roll is modified by: -1 if company contains any Men, -1 if company contains any Hobbits, +2 if company contains any Dwarves. If the result is less than 7, the company may not move this turn.
Stormcrow	Dragons	Stormcrow	Hazard	Permanent-event																				C2	The direct influence of each Wizard is reduced by 2 (by 4 if Doors of Night is in play). Discard all resource permanent-events that have been played on each company with a Wizard (i.e., on the company as a whole, not individual characters, e.g., Fellowship). No such cards may be played on each Wizard's company. Discard this card when any play deck is exhausted. Cannot be duplicated. May not be played on a lord player.
Subtlety of Guile	Dragons	SubtletyofGuile	Hazard	Short-event																				R3	The body of one non-Wizard character wounded by a Dragon attack is lowered by 1 until the end of the turn. Alternatively, lowers the body of one non-Wizard character wounded by a manifestation of Itangast by 2 until the end of the turn, or lowers the body of each non-Wizard character in a company facing an attack by a manifestation of Itangast by one until the end of the turn. Cannot be duplicated on a given character or company.
Thunder's Companion	Dragons	ThundersCompanion	Hazard	Creature	Giants						9	-	3	{w}{w}	1									C2	Giants. Three strikes. Two Wildernesses [{w}] in site path are required.
Times Are Evil	Dragons	TimesAreEvil	Hazard	Long-event																				U2	All offering attempts and influence attempts are modified by - 3.
True Cold-drake	Dragons	TrueColddrake	Hazard	Creature	Drake						14	-	2		1									C1	Drake. Two strikes. May be played keyed to Númeriador, Forochel, Angmar, Gundabad, Grey Mountain Narrows, Withered Heath, and Iron Hills. {green} DCE: Two strikes. May be played keyed to Númeriador, Forochel, Grey Mountain Narrows, Withered Heath, Iron Hills, any non-coastal sea region in the Northern Waste.
True Fire-drake	Dragons	TrueFiredrake	Hazard	Creature	Drake						13	-	2	{w}{w}{w}	1									C1	Drake. Two strikes. Three Wildernesses [{w}] in site path are required (only two Wildernesses [{w}] are required if Doors of Night is in play).
Velocity of Haste	Dragons	VelocityofHaste	Hazard	Short-event																				R3	A Dragon attack receives one additional strike (with no body). Alternatively, an attack from a manifestation of Scorba receives two additional strikes (each with no body).
Were-worm	Dragons	Wereworm	Hazard	Creature	Drake						13	6	1	{w}{w}{w}	2									R2	Drake. One strike. Attacker chooses defending characters. Defending company must discard one item of attacker's choice for each character wounded by Were-worm. Three Wildernesses [{w}] in site path are required.
Wild Fell Beast	Dragons	WildFellBeast	Hazard	Creature	Drake						12	6	3	{s}{s}	2									R2	Drake. Three strikes. Attacker chooses defending characters. Unless this attack is cancelled, all untapped characters in defending company are tapped following attack. Two Shadow-lands [{s}] in site path are required.
Winds of Wrath	Dragons	WindsofWrath	Hazard	Short-event																				R2	Playable only if Doors of Night is in play. Replace the new site card of a moving company with a Coastal Sea [{c}] in its site path with a card from your location deck that has a Coastal Sea [{c}] in its site path.
Winged Cold-drake	Dragons	WingedColddrake	Hazard	Creature	Drake						13	-	2	{w}{w}{w}	1									U2	Drake. Two Strikes. Attacker chooses defending characters. Three wildernesses [{w}] in site path are required.
Winged Fire-drake	Dragons	WingedFiredrake	Hazard	Creature	Drake						12	-	2	{w}{w}{w}{s}{s}	1									U2	Drake. Two strikes. Attacker chooses defending characters. Three Wildernesses [{w}] or two Shadow-lands [{s}] in site path are required.
Withered Lands	Dragons	WitheredLands	Hazard	Short-event																				C1	Environment. Playable only if Doors of Night is in play. Treat one target Wilderness [{w}] as two Wildernesses [{w}] or one Shadow-land [{s}] as two Wildernesses [{w}] or one Border-land [{b}] as two Wildernesses [{w}] until the end of the turn.
Wolf-riders	Dragons	Wolfriders	Hazard	Creature/Short-event	Orcs						8	-	3		1									C2	Orcs. May be played following any Orc attack not keyed to a site. Three strikes. If played as a short-event, modify the prowess and strikes of a Wolf attack by +1.
Worm's Stench	Dragons	WormsStench	Hazard	Short-event																				U2	Playable on a company that has already faced a Dragon or Drake attack this turn. The prowess of each Spider and Animal attack against the company is increased by two for the rest of the turn. Additionally, if Doors of Night is in play, all Wolf attacks receive +2 prowess and all Wolf, Spider, and Animal attacks receive +1 strikes for the rest of the turn against the company.
Worn and Famished	Dragons	WornandFamished	Hazard	Long-event																				C2	Each non-Wizard character that is not in a Haven [{H}], Free-hold [{F}], or Border-hold [{B}] does not untap normally during his untap phase. Such a character may instead make a roll (or draw a #) adding his mind stat. If the result is greater than 12, he untaps. Cannot be duplicated.
Brand	Dragons	Brand	Hero Character		Man	Warrior/Diplomat	Dale	6	2		4	9			2									U2	Unique. +2 direct influence against Men of Dale faction.
Fram Framson	Dragons	FramFramson	Hero Character		Man	Warrior/Ranger	Framsburg	5	0		6	8			2									R2	Unique. He may not be one of the starting characters. He may only be brought into play at his home site. +3 prowess against Dragon and Drake attacks.
Galdor	Dragons	Galdor	Hero Character		Elf	Ranger/Diplomat	Grey Havens	5	2		2	9			2									U2	Unique. Sinda. +1 direct influence against Elves and Elf factions
Ioreth	Dragons	Ioreth	Hero Character		Dúnadan	Sage	Minas Tirith	1	1		0	7			0									U2	Unique. Healing effects affect all characters in her company.
Thrain II	Dragons	ThrainII	Hero Character		Dwarf	Warrior/Ranger/Sage	None	9	2		7	8			3									R2	Unique. +3 direct influence against Dwarves and Dwarf factions.
A Short Rest	Dragons	AShortRest	Hero Resource	Long-event																				C2	Each moving company may draw an extra card for each region less than four in its site path.
Adamant Helmet	Dragons	AdamantHelmet	Hero Resource	Minor Item								1							1					C2	Hoard Item. Helmet. +1 to body to a maximum of 9. Cancels all dark enchantments targetting bearer.
Alert the Folk	Dragons	AlerttheFolk	Hero Resource	Short-event																				U2	Playable on a company facing a Dragon or Drake attack (not Earcaraxe). Discard from your hand any one or two factions playable at sites in Northern Rhovanion, Iron Hills, Woodland Realm, or Anduin Vales. All characters facing the attack gain a bonus to their prowess equal to the total marshalling point values (as printed on their cards) of the factions discarded.
And Forth He Hastened	Dragons	AndForthHeHastened	Hero Resource	Short-event																				C2	Untap a character in your Wizard's company.
Arrows Shorn of Ebony	Dragons	ArrowsShornofEbony	Hero Resource	Minor Item															1					U2	Hoard Item. Warrior only: discard Arrows Shorn of Ebony to modify a strike from a hazard creature attack not keyed to a site by -1 prowess, -2 body. If this strike is defeated, all other subsequent failed strikes from this attack are automatically defeated.
Belegaer	Dragons	Belegaer	Hero Resource	Short-event																				C1	Playable during organization phase on a company moving without region cards. Company may move from a site of origin in one of the following regions to a new site in one of the following regions: Lindon, Elven Shores, Eriadoran Coast, Andrast Coast, Bay of Belfalas, Mouths of the Anduin, Enedhwaith, Old Pukel-land, Andrast, Anfalas, Belfalas, Lebennin, and Harondor. The site path is [ccc] and the hazard limit is decreased by two to a minimum of two.
Bounty of the Hoard	Dragons	BountyoftheHoard	Hero Resource	Short-event																				C2	Playable during the site phase. One minor or major item may be played at a tapped site that contains a hoard.
Bow of Dragon-horn	Dragons	BowofDragonhorn	Hero Resource	Major Item											2				2					U2	Unique. Hoard item. Bow. Warrior only: tap bow to reduce the number of strikes from one hazard creature attack not keyed to a site by one (to a minimum of one).
